rule,length,size,mean_residual,delta_from_global,q_residual,leaf_id,n_predicates,n_operators,depth,n_splits,precision_penalty,n_terms,degree,n_tokens,complexity,I_inv,I_exp,expressiveness,pareto,score,q_perm,p_value
temp > 25.05 AND temp <= 25.45,2,6,23331.96780841477,22769.264633892857,8.550773488447913,13,1,3,0,0,0.02,0,0,0,4.0,0.2,0.06081006262521797,0.0,True,0.7210915831755154,8.550773488447913,0.000999000999000999
temp > 25.05 AND temp > 25.45 AND DMC > 220.05,3,6,14905.525757730016,14342.822583208104,5.386306016727943,18,1,3,0,0,0.03,0,0,0,4.0,0.2,0.06081006262521797,0.0,False,0.5723125074605784,5.386306016727943,0.00999000999000999
temp <= 25.05 AND DMC > 103.55 AND DC > 434.65 AND Y > 2.5,4,189,83.45628766979657,-479.24688685211606,1.010115358982159,11,1,5,0,0,0.13,0,0,0,6.0,0.14285714285714285,0.014995576820477717,0.0,False,0.12307421526526745,1.010115358982159,0.1848151848151848
temp > 25.05 AND temp > 25.45 AND DMC <= 220.05 AND DMC > 186.25,4,7,1322.8193503630125,760.1161758410999,0.30832572893962407,17,1,5,0,0,0.04,0,0,0,6.0,0.14285714285714285,0.014995576820477717,0.0,False,0.06799648633601535,0.30832572893962407,0.061938061938061936
temp <= 25.05 AND DMC > 103.55 AND DC <= 434.65,3,6,1228.0910001385164,665.3878256166038,0.24987985647763591,8,1,5,0,0,0.03,0,0,0,6.0,0.14285714285714285,0.014995576820477717,0.0,False,0.061213500011846535,0.24987985647763591,0.04695304695304695
temp > 25.05 AND temp > 25.45 AND DMC <= 220.05 AND DMC <= 186.25,4,46,246.5253092572786,-316.177865264634,0.3287692197204859,16,1,6,0,0,0.04,0,0,0,7.0,0.125,0.007446583070924344,0.0,False,0.04947936242325255,0.3287692197204859,0.8151848151848152
temp <= 25.05 AND DMC <= 103.55 AND temp <= 24.15 AND ISI <= 11.05,4,194,20.083665554792265,-542.6195089671204,1.1587160994099461,4,1,8,0,0,0.04,0,0,0,9.0,0.1,0.0018363047770289071,0.0,False,0.04612760462637082,1.1587160994099461,0.0969030969030969
temp <= 25.05 AND DMC <= 103.55 AND temp > 24.15,3,7,233.29421957142944,-329.4089549504832,0.1336180696877834,6,1,5,0,0,0.03,0,0,0,6.0,0.14285714285714285,0.014995576820477717,0.0,False,0.04476248461163769,0.1336180696877834,0.8461538461538461
temp <= 25.05 AND DMC <= 103.55 AND temp <= 24.15 AND ISI > 11.05,4,31,64.26587789439273,-498.4372966275199,0.42547314251727403,5,1,7,0,0,0.04,0,0,0,8.0,0.1111111111111111,0.003697863716482932,0.0,False,0.03966537149772581,0.42547314251727403,0.4075924075924076
temp <= 25.05 AND DMC > 103.55 AND DC > 434.65 AND Y <= 2.5,4,25,409.1745165122234,-153.5286580096892,0.1176901808713955,10,1,6,0,0,0.13,0,0,0,7.0,0.125,0.007446583070924344,0.0,False,0.02960387995670429,0.1176901808713955,0.9410589410589411
