rule,size,length,mean_residual,delta_from_global,q_residual,q_signed,expr,operator,threshold,n_ops,n_predicates,n_operators,depth,n_splits,precision_penalty,n_terms,degree,n_tokens,complexity,I_inv,I_exp,expressiveness,pareto,score,q_perm,p_value
(CHAS + RAD) > 24,8,2,14.338075375000079,12.898756774209566,8.300744393284562,8.300744393284562,(CHAS + RAD),>,24.0,1,1,2,0,0,0.0,0,0,7,3.0,0.25,0.12245642825298195,7.0,True,1.0082060852041081,8.300744393284562,0.000999000999000999
(target / DIS) > 10.13,73,2,5.25505758904109,3.8157389882505774,7.417614917106623,7.417614917106623,(target / DIS),>,10.13,1,1,2,0,0,0.01,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.9530659100528756,7.417614917106623,0.000999000999000999
(RM - DIS) > 4.34,73,2,4.68307712328766,3.243758522497147,6.3057121249789505,6.3057121249789505,(RM - DIS),>,4.34,1,1,2,0,0,0.01,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.8787348772049753,6.3057121249789505,0.000999000999000999
(CHAS + TAX) > 666,13,2,9.057135153846204,7.617816553055691,6.249228143129416,6.249228143129416,(CHAS + TAX),>,666.0,1,1,2,0,0,0.0,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.8747903507387601,6.249228143129416,0.000999000999000999
(target + CRIM) > 34.43,73,2,4.587941068493136,3.1486224677026233,6.120772164103358,6.120772164103358,(target + CRIM),>,34.43,1,1,2,0,0,0.01,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.8657527922948745,6.120772164103358,0.000999000999000999
(target + RAD) > 41.89,73,2,4.420457260273966,2.981138659483453,5.795191615212114,5.795191615212114,(target + RAD),>,41.89,1,1,2,0,0,0.01,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.8424122899391394,5.795191615212114,0.000999000999000999
(target * RAD) > 338.4,72,2,4.210656402777783,2.77133780198727,5.350321846770326,5.350321846770326,(target * RAD),>,338.40000000000003,1,1,2,0,0,0.1,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.809432704651469,5.350321846770326,0.000999000999000999
(target * AGE) > 2000.82,73,2,4.141289205479446,2.7019706046889334,5.252502208520578,5.252502208520578,(target * AGE),>,2000.82,1,1,2,0,0,0.01,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.8019991644922888,5.252502208520578,0.000999000999000999
(target * TAX) > 11543.9,73,2,4.064509821917803,2.6251912211272903,5.1032467425186425,5.1032467425186425,(target * TAX),>,11543.89,1,1,2,0,0,0.1,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.7905222125800755,5.1032467425186425,0.000999000999000999
(RM / DIS) > 3.39,74,2,4.018690283783784,2.5793716829932714,5.048402594870735,5.048402594870735,(RM / DIS),>,3.39,1,1,2,0,0,0.01,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.7862629014209916,5.048402594870735,0.000999000999000999
(target + TAX) > 680.19,73,2,4.034691534246581,2.595372933456068,5.045281411002599,5.045281411002599,(target + TAX),>,680.19,1,1,2,0,0,0.01,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.7860198096247596,5.045281411002599,0.000999000999000999
(TAX - DIS) > 664.05,71,2,3.9068906760563467,2.4675720752658337,4.730676111937219,4.730676111937219,(TAX - DIS),>,664.0500000000001,1,1,2,0,0,0.01,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.7611187160289358,4.730676111937219,0.000999000999000999
(RAD - DIS) > 22,72,2,3.8879316666666757,2.4486130658761627,4.727272139560228,4.727272139560228,(RAD - DIS),>,22.0,1,1,2,0,0,0.0,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.7608448341090169,4.727272139560228,0.000999000999000999
(RAD / DIS) > 11.98,73,2,3.8626846575342566,2.4233660567437436,4.710908232314291,4.710908232314291,(RAD / DIS),>,11.98,1,1,2,0,0,0.01,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.759526823724335,4.710908232314291,0.000999000999000999
(target + RAD) > 36.7,144,2,3.136495409722216,1.6971768089317032,4.633749246992484,4.633749246992484,(target + RAD),>,36.7,1,1,2,0,0,0.1,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.7532810778233078,4.633749246992484,0.000999000999000999
(TAX / DIS) > 338.18,73,2,3.8162175890411048,2.3768989882505918,4.620578463566916,4.620578463566916,(TAX / DIS),>,338.18,1,1,2,0,0,0.01,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.7522097680242231,4.620578463566916,0.000999000999000999
(DIS / target) <= 0.1,76,2,5.050865960526311,3.611547359735798,7.163484147579663,7.163484147579663,(DIS / target),<=,0.1,1,1,3,0,0,0.1,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.660009029960254,7.163484147579663,0.000999000999000999
(DIS / RM) <= 0.29,68,2,4.224009176470589,2.784690575680076,5.224630664632034,5.224630664632034,(DIS / RM),<=,0.29,1,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5636578021369953,5.224630664632034,0.000999000999000999
(DIS / RAD) <= 0.08,64,2,4.28511843750001,2.845799836709497,5.179866069756327,5.179866069756327,(DIS / RAD),<=,0.08,1,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5612378997289152,5.179866069756327,0.000999000999000999
(DIS - CHAS) <= 1.75,72,2,3.9531578055555645,2.5138392047650515,4.853197184001743,4.853197184001743,(DIS - CHAS),<=,1.75,1,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5432524502399207,4.853197184001743,0.000999000999000999
(CHAS - DIS) > -1.75,72,2,3.9531578055555645,2.5138392047650515,4.853197184001743,4.853197184001743,(CHAS - DIS),>,-1.75,1,1,3,0,0,0.01,0,0,8,4.0,0.2,0.06081006262521797,8.0,False,0.5432524502399207,4.853197184001743,0.000999000999000999
(DIS - RM) <= -4.34,73,2,4.68307712328766,3.243758522497147,6.3057121249789505,6.3057121249789505,(DIS - RM),<=,-4.34,1,1,4,0,0,0.01,0,0,10,5.0,0.16666666666666666,0.0301973834223185,10.0,False,0.43636682594893955,6.3057121249789505,0.000999000999000999
(DIS / CHAS) <= 6.26179e+06,73,2,3.9576171369863045,2.5182985361957915,4.895452452416797,4.895452452416797,(DIS / CHAS),<=,6261792.92,1,1,4,0,0,1e-05,0,0,11,5.0,0.16666666666666666,0.0301973834223185,11.0,False,0.38448648185776235,3.614259236458937,0.004995004995004995
(DIS - TAX) <= -664.05,71,2,3.9068906760563467,2.4675720752658337,4.730676111937219,4.730676111937219,(DIS - TAX),<=,-664.0500000000001,1,1,4,0,0,0.01,0,0,10,5.0,0.16666666666666666,0.0301973834223185,10.0,False,0.37796036882055656,4.730676111937219,0.000999000999000999
(DIS - RAD) <= -22,72,2,3.8879316666666757,2.4486130658761627,4.727272139560228,4.727272139560228,(DIS - RAD),<=,-22.0,1,1,4,0,0,0.0,0,0,10,5.0,0.16666666666666666,0.0301973834223185,10.0,False,0.37782436308415074,4.727272139560228,0.000999000999000999
