rule,length,size,mean_residual,delta_from_global,q_residual,n_predicates,n_operators,depth,n_splits,precision_penalty,n_terms,degree,n_tokens,complexity,I_inv,I_exp,expressiveness,pareto,score,q_perm,p_value
model > 80 AND cylinders > 4,2,11,5.9477994545454695,4.874157622887178,5.624558704454521,1,2,0,0,0.0,1,1,0,3.0,0.25,0.12245642825298195,2.0,True,0.8299176883563334,5.624558704454521,0.000999000999000999
horsepower*weight > 2.281e+05 AND model > 79,2,30,4.127455233333332,3.05381340167504,5.819633911561566,1,4,0,0,0.001,1,1,0,5.0,0.16666666666666666,0.0301973834223185,2.0,True,0.41921082596344267,5.819633911561566,0.000999000999000999
model > 77 AND model^2 > 6241,2,89,2.724550775280898,1.6509089436226063,5.4188941208191554,1,2,0,0,0.0,1,2,0,3.0,0.25,0.12245642825298195,3.0,False,0.8146032280298161,5.4188941208191554,0.000999000999000999
model > 80 AND displacement > 151,2,11,5.501537636363644,4.4278958047053525,5.1095926348029845,1,2,0,0,0.0,1,1,0,3.0,0.25,0.12245642825298195,2.0,False,0.7910135674473079,5.1095926348029845,0.002997002997002997
model > 77 AND origin > 1,2,69,2.7574329710145005,1.6837911393562088,4.866372026798783,1,2,0,0,0.0,1,1,0,3.0,0.25,0.12245642825298195,2.0,False,0.7719576004885265,4.866372026798783,0.000999000999000999
acceleration <= 14.8 AND model > 79,2,22,4.507250727272728,3.4336088956144364,5.6034397640047535,1,3,0,0,0.1,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.5837341200972971,5.6034397640047535,0.000999000999000999
model > 80 AND cylinders*horsepower > 393.6,2,12,5.682336500000005,4.608694668341713,5.554706305863951,1,3,0,0,0.1,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.5811901911803743,5.554706305863951,0.000999000999000999
model > 77 AND model*origin > 81,2,89,2.759898831460679,1.6862569998023875,5.534919522798435,1,3,0,0,0.0,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.5801541198741197,5.534919522798435,0.000999000999000999
model > 77 AND model*origin > 79,2,109,2.5965461559633063,1.5229043243050147,5.531952096196794,1,3,0,0,0.0,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.5799985805236362,5.531952096196794,0.000999000999000999
acceleration <= 13.5 AND origin > 1,2,12,5.426857333333342,4.3532155016750504,5.246785768656656,1,3,0,0,0.1,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.5648516364259855,5.246785768656656,0.000999000999000999
model > 77 AND displacement <= 97,2,34,3.628596382352959,2.554954550694667,5.183405430523964,1,3,0,0,0.0,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.5614296116540854,5.183405430523964,0.000999000999000999
horsepower*model > 6699 AND model > 79,2,40,3.4111990249999935,2.337557193341702,5.143808397805656,1,3,0,0,0.0,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.5592810660148295,5.143808397805656,0.000999000999000999
acceleration <= 17.76 AND model > 79,2,62,2.9322616290322556,1.858619797373964,5.091889207112723,1,3,0,0,0.01,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.5564513469883923,5.091889207112723,0.000999000999000999
model > 77 AND model*origin > 158,2,59,2.9774925084745805,1.9038506768162888,5.088050702301836,1,3,0,0,0.0,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.5562415678886817,5.088050702301836,0.000999000999000999
displacement <= 98 AND model > 78,2,35,3.4714566857143008,2.3978148540560094,4.935625624230206,1,3,0,0,0.0,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.5478464231005523,4.935625624230206,0.000999000999000999
horsepower*origin > 90 AND model > 79,2,56,2.9568131250000063,1.8831712933417146,4.903163559022473,1,3,0,0,0.0,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.5460418327251523,4.903163559022473,0.000999000999000999
weight <= 3085 AND model > 78.8,2,96,2.5106759791666655,1.4370341475083739,4.898862461547506,1,3,0,0,0.1,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.5458022838712141,4.898862461547506,0.000999000999000999
acceleration <= 14.8 AND origin > 2,2,23,3.9788091739130467,2.905167342254755,4.847609337759858,1,3,0,0,0.1,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.5429396167270983,4.847609337759858,0.000999000999000999
model > 75 AND model*origin > 80,2,124,2.3163662419354893,1.2427244102771977,4.8147995749061705,1,3,0,0,0.0,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.5410991255564152,4.8147995749061705,0.000999000999000999
origin > 2 AND acceleration <= 14.5,2,20,4.164579050000016,3.0909372183417245,4.809475576714561,1,3,0,0,0.1,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.5407998807456126,4.809475576714561,0.000999000999000999
displacement*model <= 7469 AND model > 77,2,30,3.788393533333346,2.7147517016750546,5.173486060370231,1,4,0,0,0.0,1,1,0,5.0,0.16666666666666666,0.0301973834223185,2.0,False,0.39525402236412455,5.173486060370231,0.001998001998001998
acceleration*horsepower <= 1600 AND model > 78,2,89,2.6392167415730348,1.5655749099147431,5.138796241798257,1,4,0,0,0.0,1,1,0,5.0,0.16666666666666666,0.0301973834223185,2.0,False,0.39392664347915246,5.138796241798257,0.000999000999000999
