rule,size,length,mean_residual,delta_from_global,q_residual,q_signed,expr,operator,threshold,n_ops,n_predicates,n_operators,depth,n_splits,precision_penalty,n_terms,degree,n_tokens,complexity,I_inv,I_exp,expressiveness,pareto,score,q_perm,p_value
model > 79,89,1,2.724550775280898,1.6509089436226063,5.4188941208191554,5.4188941208191554,model,>,79.0,0,1,1,0,0,0.0,0,0,3,2.0,0.3333333333333333,0.2465969639416065,3.0,True,1.1559770058764252,5.4188941208191554,0.000999000999000999
(model + origin) > 80,103,2,2.646682407766992,1.5730405761087003,5.554578124824493,5.554578124824493,(model + origin),>,80.0,1,1,2,0,0,0.0,0,0,7,3.0,0.25,0.12245642825298195,7.0,True,0.824738623818573,5.554578124824493,0.000999000999000999
(model - acceleration) > 64.8,53,2,2.97904860377358,1.9054067721152885,4.826342976151956,4.826342976151956,(model - acceleration),>,64.8,1,1,2,0,0,0.1,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.7687761198056527,4.826342976151956,0.000999000999000999
(model / displacement) > 0.82,61,2,2.677599868852472,1.6039580371941804,4.358634593549863,4.358634593549863,(model / displacement),>,0.8200000000000001,1,1,2,0,0,0.01,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.7305770489044972,4.358634593549863,0.000999000999000999
(model * displacement) / displacement > 79,89,3,2.724550775280898,1.6509089436226063,5.4188941208191554,5.4188941208191554,(model * displacement) / displacement,>,79.0,2,1,3,0,0,0.0,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5740411926390286,5.4188941208191554,0.000999000999000999
(origin * model) / origin > 79,89,3,2.724550775280898,1.6509089436226063,5.4188941208191554,5.4188941208191554,(origin * model) / origin,>,79.0,2,1,3,0,0,0.0,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5740411926390286,5.4188941208191554,0.000999000999000999
(model * cylinders) / cylinders > 79,89,3,2.724550775280898,1.6509089436226063,5.4188941208191554,5.4188941208191554,(model * cylinders) / cylinders,>,79.0,2,1,3,0,0,0.0,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5740411926390286,5.4188941208191554,0.000999000999000999
(model * weight) / weight > 79,89,3,2.724550775280898,1.6509089436226063,5.4188941208191554,5.4188941208191554,(model * weight) / weight,>,79.0,2,1,3,0,0,0.0,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5740411926390286,5.4188941208191554,0.000999000999000999
(model * horsepower) / horsepower > 79,89,3,2.724550775280898,1.6509089436226063,5.4188941208191554,5.4188941208191554,(model * horsepower) / horsepower,>,79.0,2,1,3,0,0,0.0,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5740411926390286,5.466675915939279,0.000999000999000999
(model * origin) / origin > 79,89,3,2.724550775280898,1.6509089436226063,5.4188941208191554,5.4188941208191554,(model * origin) / origin,>,79.0,2,1,3,0,0,0.0,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5740411926390286,5.4188941208191554,0.000999000999000999
(model * acceleration) / acceleration > 79,93,3,2.616525903225806,1.5428840715675143,5.17687062440911,5.17687062440911,(model * acceleration) / acceleration,>,79.0,2,1,3,0,0,0.0,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5610755981799327,5.17687062440911,0.000999000999000999
(model / horsepower) + model > 79.6,114,3,2.402118535087721,1.3284767034294294,4.9351335588887375,4.9351335588887375,(model / horsepower) + model,>,79.60000000000001,2,1,3,0,0,0.1,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.54781911319325,4.9552713090997385,0.000999000999000999
(model / displacement) + model > 79.23,113,3,2.332299964601769,1.2586581329434774,4.655212925068015,4.655212925068015,(model / displacement) + model,>,79.23,2,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.532056190178359,4.655212925068015,0.000999000999000999
(model / weight) + model > 79.02,115,3,2.3133631478260868,1.2397213161677951,4.62557290836679,4.62557290836679,(model / weight) + model,>,79.02,2,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5303596687487616,4.62557290836679,0.000999000999000999
(model / acceleration) + model > 85.57,57,3,2.8150693684210513,1.7414275367627596,4.574413052976933,4.574413052976933,(model / acceleration) + model,>,85.57000000000001,2,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5274185664395422,4.574413052976933,0.000999000999000999
(displacement / model) <= 1.21,56,2,2.8121170714285837,1.738475239770292,4.526422250616693,4.526422250616693,(displacement / model),<=,1.21,1,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5246446612024,4.526422250616693,0.000999000999000999
(displacement / weight) <= 0.04,11,2,4.932933272727247,3.8592914410689554,4.453448769478515,4.453448769478515,(displacement / weight),<=,0.04,1,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5203984036968105,4.453448769478515,0.000999000999000999
(model + displacement) / displacement > 1.82,61,3,2.677599868852472,1.6039580371941804,4.358634593549863,4.358634593549863,(model + displacement) / displacement,>,1.82,2,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5148289449848451,4.358634593549863,0.000999000999000999
