rule,size,length,mean_residual,delta_from_global,q_residual,q_signed,expr,operator,threshold,n_ops,n_predicates,n_operators,depth,n_splits,precision_penalty,n_terms,degree,n_tokens,complexity,I_inv,I_exp,expressiveness,pareto,score,q_perm,p_value
(CHAS + RAD) > 24,8,2,14.338075375000079,12.898756774209566,8.300744393284562,8.300744393284562,(CHAS + RAD),>,24.0,1,1,2,0,0,0.0,0,0,7,3.0,0.25,0.12245642825298195,7.0,True,1.0082060852041081,8.300744393284562,0.000999000999000999
(RM - DIS) > 4.34,73,2,4.68307712328766,3.243758522497147,6.3057121249789505,6.3057121249789505,(RM - DIS),>,4.34,1,1,2,0,0,0.01,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.8787348772049753,6.3057121249789505,0.000999000999000999
(CHAS + TAX) > 666,13,2,9.057135153846204,7.617816553055691,6.249228143129416,6.249228143129416,(CHAS + TAX),>,666.0,1,1,2,0,0,0.0,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.8747903507387601,6.249228143129416,0.000999000999000999
(AGE / LSTAT) > 9.3,73,2,4.492412712328763,3.05309411153825,5.935069588043143,5.935069588043143,(AGE / LSTAT),>,9.3,1,1,2,0,0,0.1,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.8525182831967067,5.935069588043143,0.000999000999000999
(RAD / LSTAT) > 1.44,73,2,4.193490616438353,2.7541720156478404,5.353979265996234,5.353979265996234,(RAD / LSTAT),>,1.44,1,1,2,0,0,0.01,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.8097093168874993,5.353979265996234,0.000999000999000999
(CRIM / LSTAT) > 0.49,73,2,4.161016547945216,2.7216979471547034,5.290851223010182,5.290851223010182,(CRIM / LSTAT),>,0.49,1,1,2,0,0,0.01,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.8049215757996229,5.290851223010182,0.000999000999000999
(TAX / LSTAT) > 58.78,73,2,4.1137315205479394,2.6744129197574265,5.19893138109808,5.19893138109808,(TAX / LSTAT),>,58.78,1,1,2,0,0,0.01,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.7978988455071315,5.19893138109808,0.000999000999000999
(RM / DIS) > 3.39,74,2,4.018690283783784,2.5793716829932714,5.048402594870735,5.048402594870735,(RM / DIS),>,3.39,1,1,2,0,0,0.01,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.7862629014209916,5.048402594870735,0.000999000999000999
(DIS * LSTAT) <= 20.27,73,2,4.995139986301362,3.5558213855108494,6.912347472651591,6.912347472651591,(DIS * LSTAT),<=,20.27,1,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.6483365504884099,6.912347472651591,0.000999000999000999
(RM / DIS) + RM > 9.65,74,3,4.585784216216205,3.1464656154256923,6.158331225514988,6.158331225514988,(RM / DIS) + RM,>,9.65,2,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.6119546613029447,6.158331225514988,0.000999000999000999
(LSTAT / AGE) <= 0.11,76,2,4.317931342105258,2.8786127413147446,5.709712398991641,5.709712398991641,(LSTAT / AGE),<=,0.11,1,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5892435562266806,5.709712398991641,0.000999000999000999
(CRIM - LSTAT) > -4.04,73,2,4.257546178082192,2.818227577291679,5.478500228000194,5.478500228000194,(CRIM - LSTAT),>,-4.04,1,1,3,0,0,0.01,0,0,8,4.0,0.2,0.06081006262521797,8.0,False,0.5771896932178907,5.478500228000194,0.000999000999000999
(LSTAT - CRIM) <= 4.04,73,2,4.257546178082192,2.818227577291679,5.478500228000194,5.478500228000194,(LSTAT - CRIM),<=,4.04,1,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5771896932178907,5.478500228000194,0.000999000999000999
(LSTAT / RAD) <= 0.69,71,2,4.293476802816899,2.8541582020263863,5.471815053086673,5.471815053086673,(LSTAT / RAD),<=,0.6900000000000001,1,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5768374260151737,5.471815053086673,0.000999000999000999
(LSTAT / CRIM) <= 2.03,73,2,4.161016547945216,2.7216979471547034,5.290851223010182,5.290851223010182,(LSTAT / CRIM),<=,2.0300000000000002,1,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5672186476236128,5.290851223010182,0.000999000999000999
(DIS / RM) <= 0.29,68,2,4.224009176470589,2.784690575680076,5.224630664632034,5.224630664632034,(DIS / RM),<=,0.29,1,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5636578021369953,5.224630664632034,0.000999000999000999
(RM - DIS) / RM > 0.71,68,3,4.224009176470589,2.784690575680076,5.224630664632034,5.224630664632034,(RM - DIS) / RM,>,0.71,2,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5636578021369953,5.224630664632034,0.000999000999000999
(DIS / RAD) <= 0.08,64,2,4.28511843750001,2.845799836709497,5.179866069756327,5.179866069756327,(DIS / RAD),<=,0.08,1,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5612378997289152,5.179866069756327,0.000999000999000999
(RM + DIS) / DIS > 4.39,74,3,4.018690283783784,2.5793716829932714,5.048402594870735,5.048402594870735,(RM + DIS) / DIS,>,4.39,2,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5540701020190516,5.048402594870735,0.000999000999000999
(RM - DIS) / DIS > 2.39,74,3,4.018690283783784,2.5793716829932714,5.048402594870735,5.048402594870735,(RM - DIS) / DIS,>,2.39,2,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5540701020190516,5.048402594870735,0.000999000999000999
