rule,length,size,mean_residual,delta_from_global,q_residual,n_predicates,n_operators,depth,n_splits,precision_penalty,n_terms,degree,n_tokens,complexity,I_inv,I_exp,expressiveness,pareto,score,q_perm,p_value
Contraceptive_Method <= 1 AND Wife_Education > 3 AND Wife_religion > 0,3,132,37.71645233480737,24.94907688555317,10.55884743745345,1,4,0,0,0.0,0,0,0,5.0,0.16666666666666666,0.0301973834223185,1.0,True,0.5646676585094519,10.55884743745345,0.000999000999000999
Contraceptive_Method <= 1 AND Wife_Education > 3 AND Children > 0,3,139,35.04387568602886,22.27650023677466,9.674520067517449,1,4,0,0,0.0,0,0,0,5.0,0.16666666666666666,0.0301973834223185,1.0,False,0.5405045715863457,9.674520067517449,0.000999000999000999
Contraceptive_Method <= 1 AND SOLI > 2 AND Wife_Education > 3,3,159,33.486236422171636,20.718860972917433,9.623643051286763,1,4,0,0,0.0,0,0,0,5.0,0.16666666666666666,0.0301973834223185,1.0,False,0.5390814772733686,9.623643051286763,0.000999000999000999
Contraceptive_Method <= 1 AND Wife_Education > 2 AND SOLI > 2,3,279,27.962312101885622,15.19493665263142,9.349234723707113,1,4,0,0,0.0,0,0,0,5.0,0.16666666666666666,0.0301973834223185,1.0,False,0.5313402164875511,9.349234723707113,0.000999000999000999
Contraceptive_Method <= 1 AND Wife_Education > 3 AND SOLI > 3,3,109,36.47058043806365,23.703204988809446,9.11581261556555,1,4,0,0,0.0,0,0,0,5.0,0.16666666666666666,0.0301973834223185,1.0,False,0.5246653111825109,9.11581261556555,0.000999000999000999
Contraceptive_Method <= 1 AND Wife_Education > 3 AND Wife_working > 0,3,116,35.13901321121769,22.371637761963484,8.875684194346334,1,4,0,0,0.0,0,0,0,5.0,0.16666666666666666,0.0301973834223185,1.0,False,0.5177088358837314,8.875684194346334,0.000999000999000999
Contraceptive_Method <= 1 AND Wife_Education > 3 AND Children <= 1,3,89,40.10439564874989,27.33702019949569,9.499948367797979,1,5,0,0,0.0,0,0,0,6.0,0.14285714285714285,0.014995576820477717,1.0,False,0.3774350348601551,9.499948367797979,0.000999000999000999
Contraceptive_Method <= 1 AND Children <= 5 AND Wife_Education > 3,3,167,32.124883548408704,19.3575080991545,9.214732940948181,1,5,0,0,0.0,0,0,0,6.0,0.14285714285714285,0.014995576820477717,1.0,False,0.3717260223554103,9.214732940948181,0.000999000999000999
Wife_Education > 3 AND Children <= 4 AND Contraceptive_Method <= 1,3,155,32.75562209229456,19.988246643040355,9.16675484425009,1,5,0,0,0.0,0,0,0,6.0,0.14285714285714285,0.014995576820477717,1.0,False,0.37075703157383066,9.16675484425009,0.000999000999000999
Contraceptive_Method <= 1 AND Wife_Education > 3 AND Children <= 2,3,121,35.255120742162184,22.48774529290798,9.111999068273793,1,5,0,0,0.0,0,0,0,6.0,0.14285714285714285,0.014995576820477717,1.0,False,0.36964805155231245,9.111999068273793,0.000999000999000999
Contraceptive_Method <= 1 AND Wife_Education > 3 AND Media_Exposure <= 0,3,173,31.0434372072917,18.276061758037496,8.854840370644496,1,5,0,0,0.0,0,0,0,6.0,0.14285714285714285,0.014995576820477717,1.0,False,0.36439461989862987,8.854840370644496,0.000999000999000999
Contraceptive_Method <= 1 AND Husband_Education > 3 AND Wife_Education > 3,3,168,31.619915070938024,18.85253962168382,9.001182579001426,2,5,0,0,0.0,0,0,0,7.0,0.125,0.007446583070924344,2.0,False,0.258897767103332,9.001182579001426,0.000999000999000999
Contraceptive_Method <= 1 AND Husband_Education > 2 AND Wife_Education > 3,3,172,31.255843826555736,18.488468377301533,8.931825426789596,2,5,0,0,0.0,0,0,0,7.0,0.125,0.007446583070924344,2.0,False,0.25789839087435773,8.931825426789596,0.000999000999000999
Husband_Occupation <= 1 AND Contraceptive_Method <= 1,2,158,31.942775724613725,19.17540027535952,8.878672763952126,2,5,0,0,0.0,0,0,0,7.0,0.125,0.007446583070924344,2.0,False,0.2571298782645124,8.878672763952126,0.000999000999000999
Contraceptive_Method <= 1 AND Wife_Education > 2 AND Husband_Occupation <= 1,3,130,36.42956380697394,23.662188357719735,9.93806084165253,2,6,0,0,0.0,0,0,0,8.0,0.1111111111111111,0.003697863716482932,2.0,False,0.19170183775474536,9.93806084165253,0.000999000999000999
Contraceptive_Method <= 1 AND SOLI > 2 AND Husband_Occupation <= 1,3,140,35.10306445495587,22.335689005701667,9.735055678692198,2,6,0,0,0.0,0,0,0,8.0,0.1111111111111111,0.003697863716482932,2.0,False,0.18973378500461377,9.735055678692198,0.000999000999000999
Husband_Occupation <= 1 AND Contraceptive_Method <= 1 AND Wife_Education > 3,3,100,37.65902210971442,24.891646660460218,9.169141932988094,2,6,0,0,0.0,0,0,0,8.0,0.1111111111111111,0.003697863716482932,2.0,False,0.18413646370363163,9.169141932988094,0.000999000999000999
Husband_Occupation <= 1 AND Contraceptive_Method <= 1 AND Wife_working > 0,3,117,34.9204885447639,22.153113095509696,8.826789372273675,2,6,0,0,0.0,0,0,0,8.0,0.1111111111111111,0.003697863716482932,2.0,False,0.18066616770377342,8.826789372273675,0.000999000999000999
Husband_Occupation <= 1 AND Contraceptive_Method <= 1 AND Children <= 1,3,63,47.432533123711266,34.66515767445706,10.135344678014418,2,7,0,0,0.0,0,0,0,9.0,0.1,0.0018363047770289071,2.0,False,0.13642427148081968,10.135344678014418,0.000999000999000999
Husband_Occupation <= 1 AND Children <= 5 AND Contraceptive_Method <= 1,3,140,35.530305211429145,22.76292976217494,9.921269435134283,2,7,0,0,0.0,0,0,0,9.0,0.1,0.0018363047770289071,2.0,False,0.1349758291618465,9.921269435134283,0.000999000999000999
Husband_Occupation <= 1 AND Contraceptive_Method <= 1 AND Children <= 2.2,3,95,38.818760636194554,26.05138518694035,9.353360875687542,2,7,0,0,0.1,0,0,0,9.0,0.1,0.0018363047770289071,2.0,False,0.13105579444381815,9.353360875687542,0.000999000999000999
Husband_Occupation <= 1 AND Contraceptive_Method <= 1 AND Children <= 4,3,129,35.06906723914155,22.30169178988735,9.330560487074788,2,7,0,0,0.0,0,0,0,9.0,0.1,0.0018363047770289071,2.0,False,0.13089596172064516,9.330560487074788,0.000999000999000999
Husband_Occupation <= 1 AND Contraceptive_Method <= 1 AND Media_Exposure <= 0,3,151,32.90556348612628,20.13818803687208,9.11557215786377,2,7,0,0,0.0,0,0,0,9.0,0.1,0.0018363047770289071,2.0,False,0.1293791664018475,9.11557215786377,0.000999000999000999
Contraceptive_Method <= 1 AND Husband_Education > 3 AND Husband_Occupation <= 1,3,143,34.117249696455495,21.349874247201292,9.404558406897975,3,7,0,0,0.0,0,0,0,10.0,0.09090909090909091,0.0009118819655545162,3.0,False,0.09260587025267013,9.404558406897975,0.000999000999000999
Contraceptive_Method <= 1 AND Husband_Education > 2 AND Husband_Occupation <= 1,3,153,32.687412158424635,19.920036709170432,9.076343375834641,3,7,0,0,0.0,0,0,0,10.0,0.09090909090909091,0.0009118819655545162,3.0,False,0.09097556725629034,9.076343375834641,0.000999000999000999
