rule,size,length,mean_residual,delta_from_global,q_residual,q_signed,expr,operator,threshold,n_ops,n_predicates,n_operators,depth,n_splits,precision_penalty,n_terms,degree,n_tokens,complexity,I_inv,I_exp,expressiveness,pareto,score,q_perm,p_value
(Wife_Education / Contraceptive_Method) > 3,175,2,30.72924093238621,17.96186548313201,8.752770310048032,8.752770310048032,(Wife_Education / Contraceptive_Method),>,3.0,1,1,2,0,0,0.0,0,0,7,3.0,0.25,0.12245642825298195,7.0,True,1.0352936730644244,8.752770310048032,0.000999000999000999
(Wife_Education - Contraceptive_Method) > 2,175,2,30.72924093238621,17.96186548313201,8.752770310048032,8.752770310048032,(Wife_Education - Contraceptive_Method),>,2.0,1,1,2,0,0,0.0,0,0,7,3.0,0.25,0.12245642825298195,7.0,True,1.0352936730644244,8.752770310048032,0.000999000999000999
(Wife_Education / Contraceptive_Method) > 2,350,2,23.288638848316292,10.52126339906209,7.250650697496776,7.250650697496776,(Wife_Education / Contraceptive_Method),>,2.0,1,1,2,0,0,0.0,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.9422785081521532,7.250650697496776,0.000999000999000999
(SOLI / Contraceptive_Method) > 2,432,2,22.1937124678634,9.426337018609196,7.217053160278994,7.217053160278994,(SOLI / Contraceptive_Method),>,2.0,1,1,2,0,0,0.0,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.9400928424999635,7.217053160278994,0.000999000999000999
(SOLI - Contraceptive_Method) > 2,248,2,24.68172683179573,11.914351382541525,6.911484090354968,6.911484090354968,(SOLI - Contraceptive_Method),>,2.0,1,1,2,0,0,0.0,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.9199758994844264,6.911484090354968,0.000999000999000999
(SOLI / Contraceptive_Method) > 3,248,2,24.68172683179573,11.914351382541525,6.911484090354968,6.911484090354968,(SOLI / Contraceptive_Method),>,3.0,1,1,2,0,0,0.0,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.9199758994844264,6.911484090354968,0.000999000999000999
(Wife_Education - Children) > 2,191,2,25.824651457274197,13.057276008019993,6.647285559772248,6.647285559772248,(Wife_Education - Children),>,2.0,1,1,2,0,0,0.0,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.9022210633915245,6.647285559772248,0.000999000999000999
(Contraceptive_Method / Wife_Education) <= 0.33,175,2,30.72924093238621,17.96186548313201,8.752770310048032,8.752770310048032,(Contraceptive_Method / Wife_Education),<=,0.33,1,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.7295591207696395,8.752770310048032,0.000999000999000999
(Contraceptive_Method / SOLI) <= 0.33,248,2,24.68172683179573,11.914351382541525,6.911484090354968,6.911484090354968,(Contraceptive_Method / SOLI),<=,0.33,1,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.6482960591949355,6.911484090354968,0.000999000999000999
(Contraceptive_Method / SOLI) <= 0.25,248,2,24.68172683179573,11.914351382541525,6.911484090354968,6.911484090354968,(Contraceptive_Method / SOLI),<=,0.25,1,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.6482960591949355,6.911484090354968,0.000999000999000999
(Husband_Education - Contraceptive_Method) > 2,338,2,22.9191248571621,10.151749407907896,6.8750253976290585,6.8750253976290585,(Husband_Education - Contraceptive_Method),>,2.0,1,1,3,0,0,0.0,0,0,7,4.0,0.2,0.06081006262521797,7.0,False,0.6465838885866142,6.8750253976290585,0.000999000999000999
(Husband_Education / Contraceptive_Method) > 3,338,2,22.9191248571621,10.151749407907896,6.8750253976290585,6.8750253976290585,(Husband_Education / Contraceptive_Method),>,3.0,1,1,3,0,0,0.0,0,0,7,4.0,0.2,0.06081006262521797,7.0,False,0.6465838885866142,6.8750253976290585,0.000999000999000999
(Wife_religion / Husband_Occupation) > 0.5,364,2,21.816061364338232,9.048685915084029,6.359328704305682,6.359328704305682,(Wife_religion / Husband_Occupation),>,0.5,1,1,3,0,0,0.1,0,0,7,4.0,0.2,0.06081006262521797,7.0,False,0.6218610590503113,6.359328704305682,0.000999000999000999
(Contraceptive_Method - SOLI) <= -3,248,2,24.68172683179573,11.914351382541525,6.911484090354968,6.911484090354968,(Contraceptive_Method - SOLI),<=,-3.0,1,1,4,0,0,0.0,0,0,10,5.0,0.16666666666666666,0.0301973834223185,10.0,False,0.456846511526249,6.911484090354968,0.000999000999000999
