rule,length,size,mean_residual,delta_from_global,q_residual,n_predicates,n_operators,depth,n_splits,precision_penalty,n_terms,degree,n_tokens,complexity,I_inv,I_exp,expressiveness,pareto,score,q_perm,p_value,language,leaf_id,q_signed,expr,operator,threshold,n_ops
Husband_Occupation > 1.5 AND Contraceptive_Method > 1.5 AND SOLI <= 2.5 AND Husband_Education <= 3.5,4,99,3.65677275936424,-9.110602689889962,3.3391795564051483,3,8,2,0,0.4,0,0,0,13.0,0.07142857142857142,0.00011166580849011478,2.0,False,0.019309898623753666,3.3391795564051483,0.000999000999000999,L_tree,26.0,,,,,
Husband_Occupation > 1.5 AND Contraceptive_Method > 1.5 AND SOLI > 2.5 AND Children > 3.5,4,181,6.330492679751454,-6.436882769502749,3.189994652522251,2,5,1,0,0.4,0,0,0,8.0,0.1111111111111111,0.003697863716482932,1.0,True,0.10861015367513578,3.189994652522251,0.001998001998001998,L_tree,30.0,,,,,
Husband_Occupation > 1.5 AND Contraceptive_Method <= 1.5 AND SOLI <= 2.5 AND Children > 5.5,4,35,3.406410756349206,-9.360964692904997,2.039997791615902,2,7,1,0,0.4,0,0,0,10.0,0.09090909090909091,0.0009118819655545162,1.0,False,0.04313046714267747,2.039997791615902,0.04195804195804196,L_tree,20.0,,,,,
Husband_Occupation > 1.5 AND Contraceptive_Method <= 1.5 AND SOLI <= 2.5 AND Children <= 5.5,4,144,8.154651193229954,-4.612724256024249,2.0389839520777415,2,8,1,0,0.4,0,0,0,11.0,0.08333333333333333,0.0004528271828867974,1.0,False,0.030385973062759607,2.0389839520777415,0.028971028971028972,L_tree,19.0,,,,,
Husband_Occupation > 1.5 AND Contraceptive_Method > 1.5 AND SOLI <= 2.5 AND Husband_Education > 3.5,4,44,6.19678157293277,-6.570593876321433,1.6054841808728082,3,7,2,0,0.4,0,0,0,12.0,0.07692307692307693,0.0002248673241788486,2.0,False,0.019000550827919148,1.6054841808728082,0.08191808191808192,L_tree,27.0,,,,,
Husband_Occupation <= 1.5 AND Contraceptive_Method > 1.5 AND Children > 5.5 AND Children <= 6.5,4,16,1.9851715130129584,-10.782203936241245,1.5887025810769082,2,7,1,0,0.4,0,0,0,10.0,0.09090909090909091,0.0009118819655545162,1.0,False,0.038061913145741165,1.5887025810769082,0.07792207792207792,L_tree,14.0,,,,,
Husband_Occupation > 1.5 AND Contraceptive_Method > 1.5 AND SOLI > 2.5 AND Children <= 3.5,4,242,10.033380839927869,-2.7339946093263343,1.5666803805796454,2,6,1,0,0.4,0,0,0,9.0,0.1,0.0018363047770289071,1.0,False,0.053636765999973086,1.5666803805796454,0.06893106893106893,L_tree,29.0,,,,,
Husband_Occupation <= 1.5 AND Contraceptive_Method <= 1.5 AND Children > 1.5 AND Children > 5.5,4,18,4.039768604938272,-8.72760684431593,1.3639752649267858,2,7,1,0,0.4,0,0,0,10.0,0.09090909090909091,0.0009118819655545162,1.0,False,0.035267328301831706,1.3639752649267858,0.11688311688311688,L_tree,8.0,,,,,
Husband_Occupation <= 1.5 AND Contraceptive_Method > 1.5 AND Children > 5.5 AND Children > 6.5,4,24,5.451219408464428,-7.316156040789775,1.3202727157339929,2,6,1,0,0.4,0,0,0,9.0,0.1,0.0018363047770289071,1.0,False,0.04923843107658143,1.3202727157339929,0.13486513486513488,L_tree,15.0,,,,,
Husband_Occupation <= 1.5 AND Contraceptive_Method > 1.5 AND Children <= 5.5 AND SOLI <= 3.5,4,69,8.770306454225945,-3.9970689950282576,1.2230416815125547,2,8,1,0,0.4,0,0,0,11.0,0.08333333333333333,0.0004528271828867974,1.0,False,0.023533519056708495,1.2230416815125547,0.18281718281718282,L_tree,11.0,,,,,
Husband_Occupation <= 1.5 AND Contraceptive_Method <= 1.5 AND Children <= 1.5 AND SOLI <= 2.5,4,8,9.095240042111518,-3.672135407142685,0.3825945228858481,2,9,1,0,0.4,0,0,0,12.0,0.07692307692307693,0.0002248673241788486,1.0,False,0.009275397921751062,0.3825945228858481,0.7132867132867133,L_tree,4.0,,,,,
