rule,length,size,mean_residual,delta_from_global,q_residual,n_predicates,n_operators,depth,n_splits,precision_penalty,n_terms,degree,n_tokens,complexity,I_inv,I_exp,expressiveness,pareto,score,q_perm,p_value,language,leaf_id,q_signed,expr,operator,threshold,n_ops
day > 6 AND month > 8 AND ISI > 8.56,3,6,24018.55464160551,23455.8514670836,8.808614423812413,1,3,0,0,0.01,0,0,0,4.0,0.2,0.0608100626252179,1.0,True,0.7318827739149427,8.808614423812413,0.0009990009990009,L_conj,,,,,,
temp > 25.05 AND temp <= 25.45,2,6,23331.96780841477,22769.264633892857,8.550773488447913,1,3,0,0,0.02,0,0,0,4.0,0.2,0.0608100626252179,0.0,True,0.7210915831755154,8.550773488447913,0.0009990009990009,L_tree,13.0,,,,,
day > 6 AND temp > 24.1,2,16,9131.290569365052,8568.58739484314,5.254725018167259,1,2,0,0,0.1,1,1,0,3.0,0.25,0.1224564282529819,2.0,True,0.8021688458026454,5.254725018167259,0.0059940059940059,L_poly,,,,,,
(target + DMC) > 188.28,2,74,3603.9236613878993,3041.2204868659865,4.010924983659692,1,2,0,0,0.01,0,0,7,3.0,0.25,0.1224564282529819,7.0,True,0.7008306125517176,4.010924983659692,0.0009990009990009,L_symb,,4.010924983659692,(target + DMC),>,188.28,1.0
temp > 24.6,1,71,3537.611277714509,2974.908103192596,3.8431160693548194,1,1,0,0,0.1,0,0,3,2.0,0.3333333333333333,0.2465969639416065,3.0,True,0.9734992320377552,3.8431160693548194,0.0009990009990009,L_symb,,3.8431160693548194,temp,>,24.6,0.0
(target - Children) > 38,2,197,35.316530889000404,22.5491554397462,11.658386831911915,1,2,0,0,0.0,0,0,7,3.0,0.25,0.1224564282529819,7.0,True,1.1948407469732236,11.658386831911915,0.0009990009990009,L_symb,,11.658386831911915,(target - Children),>,38.0,1.0
Husband_Occupation <= 1.5 AND Contraceptive_Method <= 1.5 AND Children <= 1.5 AND SOLI > 2.5,4,55,53.00886666285305,40.24149121359885,10.993360719513667,2,8,1,0,0.4,0,0,0,11.0,0.0833333333333333,0.0004528271828867,1.0,True,0.0705555991050728,10.993360719513667,0.0009990009990009,L_tree,5.0,,,,,
Contraceptive_Method <= 1 AND Wife_Education > 3 AND Wife_religion > 0,3,132,37.71645233480737,24.94907688555317,10.55884743745345,1,4,0,0,0.0,0,0,0,5.0,0.1666666666666666,0.0301973834223185,1.0,True,0.5646676585094519,10.55884743745345,0.0009990009990009,L_conj,,,,,,
Children*Husband_Occupation <= 2 AND Contraceptive_Method*Husband_Occupation <= 1,2,95,38.818760636194554,26.05138518694035,9.353360875687542,1,8,0,0,0.0,1,1,0,9.0,0.1,0.0018363047770289,2.0,True,0.1310557944438181,9.353360875687542,0.0009990009990009,L_poly,,,,,,
Husband_Occupation <= 1 AND Contraceptive_Method <= 1,2,158,31.942775724613725,19.17540027535952,8.878672763952126,1,5,0,0,0.0,1,1,0,6.0,0.1428571428571428,0.0149955768204777,2.0,True,0.3648846660189043,8.878672763952126,0.0009990009990009,L_poly,,,,,,
Contraceptive_Method <= 1 AND Wife_Education > 3,2,175,30.72924093238621,17.96186548313201,8.752770310048032,1,3,0,0,0.0,1,1,0,4.0,0.2,0.0608100626252179,2.0,True,0.7295591207696395,8.752770310048032,0.0009990009990009,L_poly,,,,,,
target > 43,1,198,29.60839317569336,16.841017726439155,8.729231195458194,1,1,0,0,0.0,0,0,3,2.0,0.3333333333333333,0.2465969639416065,3.0,True,1.467174805653488,8.729231195458194,0.0009990009990009,L_symb,,8.729231195458194,target,>,43.0,0.0
Husband_Occupation > 1.5 AND Contraceptive_Method <= 1.5 AND SOLI > 2.5 AND Wife_Education > 3.5,4,65,24.266874872422807,11.499499423168604,3.4151570657333017,2,6,1,0,0.4,0,0,0,9.0,0.1,0.0018363047770289,1.0,True,0.0791913457021036,3.4151570657333017,0.0059940059940059,L_tree,23.0,,,,,
Husband_Occupation > 1.5 AND Contraceptive_Method > 1.5 AND SOLI > 2.5 AND Children > 3.5,4,181,6.330492679751454,-6.436882769502749,3.189994652522251,2,5,1,0,0.4,0,0,0,8.0,0.1111111111111111,0.0036978637164829,1.0,True,0.1086101536751357,3.189994652522251,0.0019980019980019,L_tree,30.0,,,,,
(target * timbre_avg_1) / timbre_avg_1 <= 1988,3,74713,45.75975726375895,34.19703932063996,333.04203837525785,1,4,0,0,0.0,0,0,13,5.0,0.1666666666666666,0.0301973834223185,13.0,True,3.1712770501121743,333.04203837525785,0.0009990009990009,L_symb,,333.04203837525785,(target * timbre_avg_1) / timbre_avg_1,<=,1988.0,2.0
target <= 1988,1,75562,45.31009137988966,33.74737343677067,330.52488294843954,1,2,0,0,0.0,0,0,5,3.0,0.25,0.1224564282529819,5.0,True,6.36198841672954,330.52488294843954,0.0009990009990009,L_symb,,330.52488294843954,target,<=,1988.0,0.0
timbre_avg_3*timbre_cov_3_3 > 1758 AND timbre_avg_1*timbre_avg_6 > -409.9,2,61841,25.30123354722236,13.738515604103371,121.72801043226468,1,5,0,0,0.1,2,1,0,6.0,0.1428571428571428,0.0149955768204777,3.0,True,1.3510668864423174,121.73917678179124,0.0009990009990009,L_poly,,,,,,
timbre_avg_3*timbre_cov_3_3 > 1758 AND timbre_avg_6 > -9.93,2,61845,25.125953076138384,13.563235133019395,120.1788512171264,1,4,0,0,0.01,2,1,0,5.0,0.1666666666666666,0.0301973834223185,3.0,True,1.905016233384203,120.18703973864685,0.0009990009990009,L_poly,,,,,,
timbre_avg_6 > -8.1 AND timbre_avg_3 > 16.18 AND timbre_cov_3_3 > 19.42,3,65956,24.62956510239824,13.06684715927925,119.56675051862752,1,4,0,0,0.12,0,0,0,5.0,0.1666666666666666,0.0301973834223185,1.0,True,1.900158680208496,119.56675051862752,0.0009990009990009,L_conj,,,,,,
timbre_avg_6 > 0.04687 AND timbre_avg_3*timbre_cov_3_3 > 988.5,2,41227,27.18143834661751,15.618720403498523,112.99228147308736,1,3,0,0,0.10001,1,1,0,4.0,0.2,0.0608100626252179,2.0,True,2.6212721553750766,112.98888664973497,0.0009990009990009,L_poly,,,,,,
timbre_avg_6 > -8.76 AND timbre_avg_3 > 26.79 AND timbre_avg_2 <= -54.36 AND timbre_cov_7_10 <= -104.34,4,7055,43.39181763288448,31.829099689765492,95.25446104174016,1,9,0,0,0.04,0,0,0,10.0,0.0909090909090909,0.0009118819655545,0.0,True,0.2947216062024942,95.25446104174016,0.0009990009990009,L_tree,26.0,,,,,
timbre_avg_6 > -8.76 AND timbre_avg_3 > 26.79 AND timbre_avg_2 > -54.36 AND timbre_cov_3_3 > 37.2,4,31870,24.131997066206463,12.569279123087478,79.94915223867694,1,6,0,0,0.13,0,0,0,7.0,0.125,0.0074465830709243,0.0,True,0.7715879752790895,79.93108245053519,0.0009990009990009,L_tree,30.0,,,,,
PTRATIO > 19.7 AND LSTAT <= 11.45 AND DIS <= 2.1,3,8,24.4706798750001,23.031361274209587,14.821385216663389,1,5,0,0,0.21,0,0,0,6.0,0.1428571428571428,0.0149955768204777,1.0,True,0.4714395195593689,14.821385216663389,0.0009990009990009,L_conj,,,,,,
NOX > 0.507 AND LSTAT <= 10.11 AND RAD > 5,3,11,18.538056727272796,17.09873812648228,12.902818768188368,1,4,0,0,0.011,0,0,0,5.0,0.1666666666666666,0.0301973834223185,1.0,True,0.6242045863109879,12.902818768188368,0.0009990009990009,L_conj,,,,,,
DIS <= 1.951 AND LSTAT <= 13.66,2,21,11.375046523809536,9.935727923019025,10.359374452514087,1,4,0,0,0.011,1,1,0,5.0,0.1666666666666666,0.0301973834223185,2.0,True,0.5593085037418426,10.658807963367984,0.0009990009990009,L_poly,,,,,,
CHAS > 0 AND TAX > 403,2,8,14.33807537500008,12.898756774209566,8.300744393284562,1,2,0,0,0.0,1,1,0,3.0,0.25,0.1224564282529819,2.0,True,1.008206085204108,8.300744393284562,0.0009990009990009,L_poly,,,,,,
(CHAS + RAD) > 24,2,8,14.33807537500008,12.898756774209566,8.300744393284562,1,2,0,0,0.0,0,0,7,3.0,0.25,0.1224564282529819,7.0,True,1.008206085204108,8.300744393284562,0.0009990009990009,L_symb,,8.300744393284562,(CHAS + RAD),>,24.0,1.0
DIS <= 1.34,1,10,12.632326100000029,11.193007499209514,8.053246424196972,1,2,0,0,0.01,0,0,0,3.0,0.25,0.1224564282529819,0.0,True,0.9930618273542992,8.053246424196972,0.0009990009990009,L_tree,1.0,,,,,
weight > 2155 AND model > 79 AND cylinders > 4,3,14,6.986206285714295,5.912564454056003,7.697194268519074,1,3,0,0,0.0,0,0,0,4.0,0.2,0.0608100626252179,1.0,True,0.684154124088362,7.697194268519074,0.0009990009990009,L_conj,,,,,,
model > 79.5 AND displacement > 212.5,2,6,9.77171466666666,8.698072835008368,7.412952324951673,1,2,0,0,0.2,0,0,0,3.0,0.25,0.1224564282529819,0.0,True,0.9527663220975122,7.412952324951673,0.0009990009990009,L_tree,20.0,,,,,
horsepower*weight > 2.281e+05 AND model > 79,2,30,4.127455233333332,3.05381340167504,5.819633911561566,1,4,0,0,0.001,1,1,0,5.0,0.1666666666666666,0.0301973834223185,2.0,True,0.4192108259634426,5.819633911561566,0.0009990009990009,L_poly,,,,,,
model > 80 AND cylinders > 4,2,11,5.9477994545454695,4.874157622887178,5.624558704454521,1,2,0,0,0.0,1,1,0,3.0,0.25,0.1224564282529819,2.0,True,0.8299176883563334,5.624558704454521,0.0009990009990009,L_poly,,,,,,
(model + origin) > 80,2,103,2.646682407766992,1.5730405761087003,5.554578124824493,1,2,0,0,0.0,0,0,7,3.0,0.25,0.1224564282529819,7.0,True,0.824738623818573,5.554578124824493,0.0009990009990009,L_symb,,5.554578124824493,(model + origin),>,80.0,1.0
model > 79,1,89,2.724550775280898,1.6509089436226063,5.4188941208191554,1,1,0,0,0.0,0,0,3,2.0,0.3333333333333333,0.2465969639416065,3.0,True,1.1559770058764252,5.4188941208191554,0.0009990009990009,L_symb,,5.4188941208191554,model,>,79.0,0.0
