rule,length,size,mean_residual,delta_from_global,q_residual,n_predicates,n_operators,depth,n_splits,precision_penalty,n_terms,degree,n_tokens,complexity,I_inv,I_exp,expressiveness,pareto,score,q_perm,p_value,language,leaf_id,q_signed,expr,operator,threshold,n_ops,dataset
Husband_Occupation <= 1.5 AND Contraceptive_Method <= 1.5 AND Children <= 1.5 AND SOLI > 2.5,4,55,53.00886666285305,40.24149121359885,10.993360719513667,2,8,1,0,0.4,0,0,0,11.0,0.0833333333333333,0.0004528271828867,1.0,True,0.0705555991050728,10.993360719513667,0.0009990009990009,L_tree,5.0,,,,,,cmc
Contraceptive_Method <= 1 AND Wife_Education > 3 AND Wife_religion > 0,3,132,37.71645233480737,24.94907688555317,10.55884743745345,1,4,0,0,0.0,0,0,0,5.0,0.1666666666666666,0.0301973834223185,1.0,True,0.5646676585094519,10.55884743745345,0.0009990009990009,L_conj,,,,,,,cmc
Husband_Occupation <= 1 AND Contraceptive_Method <= 1 AND Children <= 1,3,63,47.432533123711266,34.66515767445706,10.135344678014418,2,7,0,0,0.0,0,0,0,9.0,0.1,0.0018363047770289,2.0,False,0.1364242714808196,10.135344678014418,0.0009990009990009,L_conj,,,,,,,cmc
Contraceptive_Method <= 1 AND Wife_Education > 2 AND Husband_Occupation <= 1,3,130,36.42956380697394,23.662188357719735,9.93806084165253,2,6,0,0,0.0,0,0,0,8.0,0.1111111111111111,0.0036978637164829,2.0,False,0.1917018377547453,9.93806084165253,0.0009990009990009,L_conj,,,,,,,cmc
Husband_Occupation <= 1 AND Children <= 5 AND Contraceptive_Method <= 1,3,140,35.530305211429145,22.76292976217494,9.921269435134285,2,7,0,0,0.0,0,0,0,9.0,0.1,0.0018363047770289,2.0,False,0.1349758291618465,9.921269435134285,0.0009990009990009,L_conj,,,,,,,cmc
Contraceptive_Method <= 1 AND SOLI > 2 AND Husband_Occupation <= 1,3,140,35.10306445495587,22.335689005701667,9.735055678692198,2,6,0,0,0.0,0,0,0,8.0,0.1111111111111111,0.0036978637164829,2.0,False,0.1897337850046137,9.735055678692198,0.0009990009990009,L_conj,,,,,,,cmc
Contraceptive_Method <= 1 AND Wife_Education > 3 AND Children > 0,3,139,35.04387568602886,22.27650023677466,9.674520067517449,1,4,0,0,0.0,0,0,0,5.0,0.1666666666666666,0.0301973834223185,1.0,False,0.5405045715863457,9.674520067517449,0.0009990009990009,L_conj,,,,,,,cmc
Contraceptive_Method <= 1 AND SOLI > 2 AND Wife_Education > 3,3,159,33.486236422171636,20.718860972917433,9.623643051286765,1,4,0,0,0.0,0,0,0,5.0,0.1666666666666666,0.0301973834223185,1.0,False,0.5390814772733686,9.623643051286765,0.0009990009990009,L_conj,,,,,,,cmc
Contraceptive_Method <= 1 AND Wife_Education > 3 AND Children <= 1,3,89,40.10439564874989,27.33702019949569,9.49994836779798,1,5,0,0,0.0,0,0,0,6.0,0.1428571428571428,0.0149955768204777,1.0,False,0.3774350348601551,9.49994836779798,0.0009990009990009,L_conj,,,,,,,cmc
Contraceptive_Method <= 1 AND Husband_Education > 3 AND Husband_Occupation <= 1,3,143,34.117249696455495,21.349874247201292,9.404558406897976,3,7,0,0,0.0,0,0,0,10.0,0.0909090909090909,0.0009118819655545,3.0,False,0.0926058702526701,9.404558406897976,0.0009990009990009,L_conj,,,,,,,cmc
