cylinders,displacement,horsepower,weight,acceleration,model,origin,target,Residual_signed,Residual,Residual_CV
8,307.0,130.0,3504.0,12.0,70,1,18.0,0.6509999999999998,0.42380099999999976,0.0014062499999990409
8,350.0,165.0,3693.0,11.5,70,1,15.0,0.009999999999999787,9.999999999999574e-05,0.07049024999999969
8,318.0,150.0,3436.0,11.0,70,1,18.0,0.9699999999999989,0.9408999999999978,0.9063040000000033
8,304.0,150.0,3433.0,12.0,70,1,16.0,-0.3299999999999983,0.10889999999999887,1.3994890000000038
8,302.0,140.0,3449.0,10.5,70,1,17.0,-0.05700000000000216,0.003249000000000246,1.4268302499999992
8,429.0,198.0,4341.0,10.0,70,1,15.0,0.4949999999999992,0.24502499999999922,0.057840249999999545
8,454.0,220.0,4354.0,9.0,70,1,14.0,0.07000000000000028,0.00490000000000004,0.0576000000000001
8,440.0,215.0,4312.0,8.5,70,1,14.0,-0.09999999999999964,0.009999999999999929,0.5076562500000005
8,455.0,225.0,4425.0,10.0,70,1,14.0,0.41499999999999915,0.1722249999999993,0.009999999999999929
8,390.0,190.0,3850.0,8.5,70,1,15.0,0.27999999999999936,0.07839999999999964,0.0882089999999993
8,383.0,170.0,3563.0,10.0,70,1,15.0,0.1349999999999998,0.018224999999999943,0.6552902499999999
8,340.0,160.0,3609.0,8.0,70,1,14.0,-0.5399999999999991,0.2915999999999991,0.009409000000000254
8,400.0,150.0,3761.0,9.5,70,1,15.0,-0.08000000000000007,0.006400000000000012,0.30250000000000077
8,455.0,225.0,3086.0,10.0,70,1,14.0,-0.3200000000000003,0.10240000000000019,1.1246602499999985
4,113.0,95.0,2372.0,15.0,70,3,24.0,-0.10999999999999943,0.012099999999999875,0.32319225000000024
6,198.0,95.0,2833.0,15.5,70,1,22.0,0.370000000000001,0.13690000000000074,1.591382250000004
6,199.0,97.0,2774.0,15.5,70,1,18.0,-1.3339999999999996,1.779555999999999,0.996003999999988
6,200.0,85.0,2587.0,16.0,70,1,21.0,-0.12199999999999989,0.014883999999999972,0.10562499999999954
4,97.0,88.0,2130.0,14.5,70,3,27.0,-0.10000000000000142,0.010000000000000285,0.011556250000000367
4,97.0,46.0,1835.0,20.5,70,2,26.0,-0.4510000000000005,0.20340100000000047,1.3030222500000015
4,110.0,87.0,2672.0,17.5,70,2,25.0,0.6000000000000014,0.3600000000000017,0.011130249999999094
4,107.0,90.0,2430.0,14.5,70,2,24.0,-0.3550000000000004,0.1260250000000003,1.2577622499999943
4,104.0,95.0,2375.0,17.5,70,2,25.0,0.17999999999999972,0.0323999999999999,0.024806249999998524
