CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,target,Residual_signed,Residual,Residual_CV
0.00632,18.0,2.31,0,0.538,6.575,65.2,4.09,1,296.0,15.3,396.9,4.98,24.0,-1.1849999999999987,1.404224999999997,0.03459600000000659
0.02731,0.0,7.07,0,0.469,6.421,78.9,4.9671,2,242.0,17.8,396.9,9.14,21.6,-0.18499999999996675,0.034224999999987696,0.13875624999999112
0.02729,0.0,7.07,0,0.469,7.185,61.1,4.9671,2,242.0,17.8,392.83,4.03,34.7,-0.33299999999997,0.11088899999998002,0.8299210000001319
0.03237,0.0,2.18,0,0.458,6.998,45.8,6.0622,3,222.0,18.7,394.63,2.94,33.4,-0.3730000000000473,0.13912900000003528,0.4013222499999524
0.06905,0.0,2.18,0,0.458,7.147,54.2,6.0622,3,222.0,18.7,396.9,5.33,36.2,0.6950000000000429,0.48302500000005966,0.2435422499999974
0.02985,0.0,2.18,0,0.458,6.43,58.7,6.0622,3,222.0,18.7,394.12,5.21,28.7,1.9690000000000047,3.8769610000000188,0.06375624999998271
0.08829,12.5,7.87,0,0.524,6.012,66.6,5.5605,5,311.0,15.2,395.6,12.43,22.9,0.8979999999999677,0.8064039999999421,0.041412249999994946
0.14455,12.5,7.87,0,0.524,6.172,96.1,5.9505,5,311.0,15.2,396.9,19.15,27.1,3.400000000000034,11.560000000000231,36.6690802500002
0.21124,12.5,7.87,0,0.524,5.631,100.0,6.0821,5,311.0,15.2,386.63,29.93,16.5,-0.5419999999999945,0.29376399999999403,0.17015624999998946
0.17004,12.5,7.87,0,0.524,6.004,85.9,6.5921,5,311.0,15.2,386.71,17.1,18.9,-0.38400000000002876,0.1474560000000221,2.7390249999999803
0.22489,12.5,7.87,0,0.524,6.377,94.3,6.3467,5,311.0,15.2,392.52,20.45,15.0,-2.803999999999995,7.862415999999971,0.4355999999999978
