target,Wife_Education,Husband_Education,Children,Wife_religion,Wife_working,Husband_Occupation,SOLI,Media_Exposure,Contraceptive_Method,Residual_signed,Residual,Residual_CV
24,2,3,3,1,1,2,3,0,1,-3.188333333333336,10.165469444444462,1.0815999999999981
45,1,3,10,1,1,3,4,0,1,1.1920000000000002,1.4208640000000003,1.0920250000000036
43,2,3,7,1,1,3,4,0,1,1.9991666666666603,3.996667361111086,5.452225000000004
42,3,2,9,1,1,3,3,0,1,0.2666666666666586,0.07111111111110682,0.28622499999999634
36,3,3,8,1,1,3,2,0,1,-1.1766666666666694,1.384544444444451,1.5252249999999985
19,4,4,0,1,1,3,3,0,1,-1.7558333333333316,3.0829506944444383,8.673025
38,2,3,6,1,1,3,2,0,1,-0.4750000000000014,0.22562500000000135,3.010224999999998
21,3,3,1,1,0,3,2,0,1,-3.311,10.962721,5.9780250000000015
27,2,3,3,1,1,3,4,0,1,3.882690476190483,15.075285333900277,163.4562249999999
45,1,1,8,1,1,2,2,1,1,-0.0833333333333286,0.006944444444443655,7.5625
38,1,3,2,1,0,3,3,1,1,0.9799999999999969,0.9603999999999939,0.016900000000000664
42,1,4,4,1,1,1,3,0,1,1.7449999999999974,3.045024999999991,2.0592250000000067
44,4,4,1,1,0,1,4,0,1,6.5632471139971145,43.07621267939145,7.209225000000012
42,2,4,1,1,0,3,3,0,1,4.074190476190481,16.599028036281215,27.405224999999994
38,3,4,2,1,1,2,3,0,1,8.265809523809523,68.32360708390021,11.799225000000016
26,2,4,0,1,1,4,1,0,1,-0.22299999999999898,0.049728999999999544,6.150400000000002
48,1,1,7,1,1,2,4,0,1,4.659999999999997,21.715599999999966,0.6240999999999987
39,2,2,6,1,1,2,4,0,1,-0.020000000000003126,0.0004000000000001251,0.17640000000000144
37,2,2,8,1,1,2,3,0,1,-1.509999999999998,2.280099999999994,0.05289999999999856
39,2,1,5,1,1,2,1,1,1,1.6300000000000026,2.6569000000000083,5.405625000000013
26,3,4,1,1,0,4,1,0,1,1.6889999999999965,2.8527209999999883,27.092024999999982
24,3,4,0,1,0,3,1,0,1,2.681107142857144,7.188335511479597,30.360100000000017
46,4,4,1,0,1,1,4,0,1,2.672891358641344,7.14434821509957,127.80302499999999
39,4,4,1,1,1,1,4,0,1,6.186750039391299,38.27587604990824,0.6972250000000014
48,4,4,5,1,1,1,4,0,1,9.306777777777775,86.61611260493822,0.16402500000000092
40,2,4,8,1,1,3,3,0,1,-1.2233333333333363,1.4965444444444516,9.703225000000012
38,4,4,1,1,0,1,4,0,1,0.5632471139971145,0.3172473114260785,13.395599999999975
29,4,4,0,1,0,1,4,0,1,2.234544733044739,4.993190163977985,1.311024999999999
24,4,4,0,1,0,2,2,0,1,-0.770500000000002,0.5936702500000031,3.8612249999999992
43,1,2,8,1,1,2,4,0,1,1.7533333333333303,3.0741777777777672,12.567025000000012
31,3,4,2,1,1,1,4,0,1,-1.1950000000000003,1.4280250000000008,0.765625
31,4,4,2,1,1,3,2,0,1,3.2222857142857144,10.383125224489797,4.6440250000000045
26,2,4,0,1,0,1,2,0,1,-3.1151111111111085,9.703917234567886,1.512900000000001
33,2,2,2,1,1,3,1,0,1,8.27975,68.55426006249999,19.93622500000003
24,2,3,1,1,1,3,3,0,1,-1.5935000000000095,2.5392422500000302,11.696400000000011
42,1,3,9,1,1,3,2,1,1,-0.240000000000002,0.057600000000000956,0.14822499999999847
43,1,2,8,1,0,3,1,0,1,-0.8200000000000003,0.6724000000000004,32.20562499999997
25,3,3,4,1,1,3,2,0,1,-2.5799999999999983,6.656399999999991,5.017599999999993
