X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,target,Residual_signed,Residual,Residual_CV
7,5,3,6,86.2,26.2,94.3,5.1,8.2,51,6.7,0.0,0.0,-2.3386,5.46904996,3.079674010000004
7,4,10,3,90.6,35.4,669.1,6.7,18.0,33,0.9,0.0,0.0,-1.0732000000000002,1.1517582400000004,18.543789062500043
7,4,10,7,90.6,43.7,686.9,6.7,14.6,33,1.3,0.0,0.0,-3.2818,10.77021124,46.39448882250007
8,6,3,6,91.7,33.3,77.5,9.0,8.3,97,4.0,0.2,0.0,-1.9647999999999999,3.8604390399999997,2.7703938024999983
8,6,3,1,89.3,51.3,102.2,9.6,11.4,99,1.8,0.0,0.0,-1.4868999999999997,2.210871609999999,2.1471040899999982
8,6,8,1,92.3,85.3,488.0,14.7,22.2,29,5.4,0.0,0.0,-8.063899999999999,65.02648320999998,3.957314490000005
8,6,8,2,92.3,88.9,495.6,8.5,24.1,27,3.1,0.0,0.0,-1.1233,1.26180289,1.853273822500002
8,6,8,2,91.5,145.4,608.2,10.7,8.0,86,2.2,0.0,0.0,-1.4565000000000001,2.1213922500000004,3.120698902500001
8,6,9,3,91.0,129.5,692.6,7.0,13.1,63,5.4,0.0,0.0,-7.539200000000002,56.83953664000003,0.7600352400000004
7,5,9,7,92.5,88.0,698.6,7.1,22.8,40,4.0,0.0,0.0,-6.6358999999999995,44.035168809999995,2.6684856024999988
7,5,9,7,92.5,88.0,698.6,7.1,17.8,51,7.2,0.0,0.0,-4.035099999999999,16.28203200999999,7.269224822500009
7,5,9,7,92.8,73.2,713.0,22.6,19.3,38,4.0,0.0,0.0,-3.9986,15.988801960000002,1.9318220099999972
6,5,8,6,63.5,70.8,665.3,0.8,17.0,72,6.7,0.0,0.0,-2.986533333333333,8.91938135111111,16.660683062500027
6,5,9,2,90.9,126.5,686.5,7.0,21.3,42,2.2,0.0,0.0,-4.8674,23.69158276,1.0825362024999998
6,5,9,4,92.9,133.3,699.6,9.2,26.4,21,4.5,0.0,0.0,-17.3257,300.17988049,5.167438239999998
6,5,9,6,93.3,141.2,713.9,13.9,22.9,44,5.4,0.0,0.0,-6.262399999999999,39.21765375999998,0.8683444225000003
5,5,3,7,91.7,35.8,80.8,7.8,15.1,27,5.4,0.0,0.0,-3.3966999999999996,11.537570889999998,0.007770422499999999
8,5,10,2,84.9,32.8,664.2,3.0,16.7,47,4.9,0.0,0.0,-3.2365000000000004,10.474932250000002,2.195879422500002
6,4,3,4,89.2,27.9,70.8,6.3,15.9,35,4.0,0.0,0.0,-7.775300000000002,60.455290090000034,0.50154724
6,4,4,7,86.3,27.4,97.1,5.1,9.3,44,4.5,0.0,0.0,-1.0912,1.1907174399999998,2.4315724225
