rule,length,size,mean_residual,delta_from_global,q_residual,n_predicates,n_operators,depth,n_splits,precision_penalty,n_terms,degree,n_tokens,complexity,I_inv,I_exp,expressiveness,pareto,score,q_perm,p_value
CHAS > 0 AND TAX > 403,2,8,14.338075375000079,12.898756774209566,8.300744393284562,1,2,0,0,0.0,1,1,0,3.0,0.25,0.12245642825298195,2.0,True,1.0082060852041081,8.300744393284562,0.000999000999000999
DIS <= 1.951 AND LSTAT <= 13.66,2,21,11.375046523809537,9.935727923019025,10.359374452514087,1,4,0,0,0.011,1,1,0,5.0,0.16666666666666666,0.0301973834223185,2.0,True,0.5593085037418426,10.658807963367984,0.000999000999000999
RM > 6.75 AND RAD > 8,2,12,11.780409000000029,10.341090399209516,8.150441814334897,1,2,0,0,0.01,1,1,0,3.0,0.25,0.12245642825298195,2.0,False,0.9990365324987898,8.150441814334897,0.000999000999000999
NOX*PTRATIO > 13.23 AND CHAS > 0,2,6,15.201609666666775,13.762291065876262,7.669915116645891,1,3,0,0,0.01,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.6829407138056294,7.669915116645891,0.000999000999000999
DIS <= 1.951 AND CHAS > 0,2,10,11.934551200000053,10.49523259920954,7.551205018550094,1,3,0,0,0.001,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.6776350419465418,7.551205018550094,0.000999000999000999
CHAS > 0 AND B <= 359.1,2,7,13.675538000000074,12.236219399209562,7.3658092710390894,1,3,0,0,0.1,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.6692647630477031,7.3658092710390894,0.000999000999000999
RM > 6.75 AND AGE*PTRATIO > 1444,2,20,8.528427700000002,7.089109099209489,7.2132477937957855,1,3,0,0,0.01,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.6622975540283514,7.2132477937957855,0.000999000999000999
LSTAT <= 9.53 AND CRIM > 0.37,2,40,6.436810149999994,4.997491549209482,7.191280976353879,1,3,0,0,0.02,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.6612883232959872,7.191280976353879,0.000999000999000999
LSTAT <= 9.53 AND AGE > 76.96,2,41,6.373303463414637,4.933984862624124,7.188097094785533,1,3,0,0,0.02,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.6611419170571895,7.188097094785533,0.000999000999000999
RM > 6.75 AND B*INDUS > 2544,2,20,8.431739499999994,6.992420899209481,7.1148664689246655,1,3,0,0,0.01,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.6577655171452608,6.653026016359266,0.000999000999000999
LSTAT <= 9.53 AND NOX > 0.52,2,38,6.438350394736854,4.99903179394634,7.011353933739841,1,3,0,0,0.02,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.6529631473508195,7.011353933739841,0.000999000999000999
NOX*RAD > 14.74 AND LSTAT <= 14.15,2,20,10.284189950000039,8.844871349209527,8.999755519802562,1,4,0,0,0.02,1,1,0,5.0,0.16666666666666666,0.0301973834223185,2.0,False,0.5213147495885814,8.999755519802562,0.000999000999000999
LSTAT <= 9.53 AND DIS <= 3.09,2,40,6.786062075000018,5.3467434742095055,7.693846853549796,1,4,0,0,0.02,1,1,0,5.0,0.16666666666666666,0.0301973834223185,2.0,False,0.4820104183824681,7.693846853549796,0.000999000999000999
DIS <= 2.64 AND LSTAT <= 11.65,2,41,6.672865804878066,5.233547204087554,7.624515781979318,1,4,0,0,0.02,1,1,0,5.0,0.16666666666666666,0.0301973834223185,2.0,False,0.4798337487900867,7.748447115429525,0.000999000999000999
LSTAT <= 9.53 AND AGE*PTRATIO > 1335,2,41,6.487110439024392,5.047791838233879,7.353897277300022,1,4,0,0,0.01,1,1,0,5.0,0.16666666666666666,0.0301973834223185,2.0,False,0.4712413985750539,7.353897277300022,0.000999000999000999
AGE*PTRATIO > 1499 AND LSTAT <= 12.7,2,41,6.340861365853674,4.9015427650631604,7.140833685245463,1,4,0,0,0.1,1,1,0,5.0,0.16666666666666666,0.0301973834223185,2.0,False,0.464364611860513,7.140833685245463,0.000999000999000999
LSTAT <= 6.29 AND AGE*PTRATIO > 1270,2,21,8.218555428571406,6.779236827780894,7.068294678093064,1,4,0,0,0.01,1,1,0,5.0,0.16666666666666666,0.0301973834223185,2.0,False,0.46200000490942594,7.068294678093064,0.000999000999000999
AGE*INDUS > 872.4 AND LSTAT <= 12.03,2,42,6.211293333333347,4.771974732542834,7.036342554557699,1,4,0,0,0.11,1,1,0,5.0,0.16666666666666666,0.0301973834223185,2.0,False,0.46095458996603433,7.036342554557699,0.000999000999000999
LSTAT <= 9.53 AND AGE*INDUS > 457.7,2,41,6.251607560975623,4.812288960185111,7.0108038952470295,1,4,0,0,0.11,1,1,0,5.0,0.16666666666666666,0.0301973834223185,2.0,False,0.4601173038731087,7.0108038952470295,0.000999000999000999
DIS <= 1.951 AND LSTAT <= 17.89,2,41,6.246209463414637,4.806890862624124,7.002939653568983,1,4,0,0,0.011,1,1,0,5.0,0.16666666666666666,0.0301973834223185,2.0,False,0.45985916735689947,7.26318933580271,0.000999000999000999
DIS*NOX <= 1.277 AND LSTAT <= 12.16,2,21,8.569090095238105,7.129771494447592,7.433775687509045,1,5,0,0,0.011,1,1,0,6.0,0.14285714285714285,0.014995576820477717,2.0,False,0.3338768551251216,7.433775687509045,0.000999000999000999
DIS*NOX <= 1.533 AND LSTAT <= 9.55,2,41,6.47937719512197,5.040058594331457,7.3426310676184015,1,5,0,0,0.011,1,1,0,6.0,0.14285714285714285,0.014995576820477717,2.0,False,0.3318237306747335,7.3426310676184015,0.000999000999000999
AGE*PTRATIO > 1499 AND AGE*DIS <= 158.2,2,41,6.3535308536585555,4.914212252868042,7.159291283113782,1,5,0,0,0.1,1,1,0,6.0,0.14285714285714285,0.014995576820477717,2.0,False,0.3276548525752506,7.159291283113782,0.000999000999000999
