rule,length,size,mean_residual,delta_from_global,q_residual,n_predicates,n_operators,depth,n_splits,precision_penalty,n_terms,degree,n_tokens,complexity,I_inv,I_exp,expressiveness,pareto,score,q_perm,p_value
day > 6 AND temp > 24.1,2,16,9131.290569365052,8568.58739484314,5.254725018167259,1,2,0,0,0.1,1,1,0,3.0,0.25,0.12245642825298195,2.0,True,0.8021688458026454,5.254725018167259,0.005994005994005994
Y > 4 AND temp > 23.8,2,40,5791.969634401316,5229.266459879404,5.070508790008478,1,2,0,0,0.1,1,1,0,3.0,0.25,0.12245642825298195,2.0,False,0.7879824844815952,5.070508790008478,0.000999000999000999
temp > 23.58 AND Y > 4,2,44,5266.516949344006,4703.813774822093,4.783626135464567,1,2,0,0,0.01,1,1,0,3.0,0.25,0.12245642825298195,2.0,False,0.7653664290041771,4.783626135464567,0.000999000999000999
X > 4 AND temp > 23.7,2,49,4787.946304878846,4225.243130356933,4.534511592541403,1,2,0,0,0.1,1,1,0,3.0,0.25,0.12245642825298195,2.0,False,0.7451711840203976,4.534511592541403,0.000999000999000999
temp > 23.58 AND X > 4,2,52,4512.433041443378,3949.729866921465,4.366664626439046,1,2,0,0,0.01,1,1,0,3.0,0.25,0.12245642825298195,2.0,False,0.7312497203639583,4.366664626439046,0.000999000999000999
temp > 23.58 AND wind > 3.1,2,57,4311.053870522084,3748.3506960001714,4.338687961204955,1,2,0,0,0.11,1,1,0,3.0,0.25,0.12245642825298195,2.0,False,0.728903444245787,4.338687961204955,0.000999000999000999
DMC > 96.9 AND temp > 24.8,2,61,4112.26890300987,3549.565728487957,4.2503129888280125,1,2,0,0,0.2,1,1,0,3.0,0.25,0.12245642825298195,2.0,False,0.7214417146028741,4.2503129888280125,0.000999000999000999
wind > 3.1 AND temp > 23.4,2,59,4165.07604816981,3602.372873647897,4.242242022661471,1,2,0,0,0.2,1,1,0,3.0,0.25,0.12245642825298195,2.0,False,0.7207564123057314,4.242242022661471,0.000999000999000999
DC > 613.6 AND temp > 24.1,2,60,4081.7253111586356,3519.022136636723,4.179057976239398,1,2,0,0,0.2,1,1,0,3.0,0.25,0.12245642825298195,2.0,False,0.7153687952604669,4.179057976239398,0.000999000999000999
day > 6 AND RH <= 27.6,2,17,8265.237052165408,7702.5338776434955,4.868989634590113,1,3,0,0,0.1,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.5441356123256057,4.868989634590113,0.01998001998001998
RH <= 30 AND temp > 24.42,2,44,5175.6290692485445,4612.925894726632,4.691196107526638,1,3,0,0,0.01,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.5341085368030299,4.691196107526638,0.000999000999000999
RH <= 30 AND X > 5,2,42,5280.685064237384,4717.981889715471,4.687720255983479,1,3,0,0,0.0,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.533910631413028,4.687720255983479,0.000999000999000999
Y > 4 AND RH <= 28,2,42,5280.666601205247,4717.963426683335,4.687701911375179,1,3,0,0,0.0,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.5339095867270774,4.687701911375179,0.000999000999000999
temp > 23.58 AND RH <= 28,2,46,4873.349598790256,4310.646424268343,4.482312068909168,1,3,0,0,0.01,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.5220820602320452,4.482312068909168,0.000999000999000999
RH <= 30 AND Y > 4,2,48,4677.798401244591,4115.0952267226785,4.371004770370363,1,3,0,0,0.0,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.515558991601687,4.371004770370363,0.000999000999000999
RH <= 30 AND X > 4,2,49,4542.258487471918,3979.555312950005,4.270840551181992,1,3,0,0,0.0,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.5096175834679346,4.270840551181992,0.000999000999000999
temp > 20.6 AND RH <= 27,2,50,4483.475732216924,3920.7725576950115,4.250474589035786,1,3,0,0,0.1,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.5084010483330692,4.250474589035786,0.000999000999000999
temp > 23.58 AND DC*month > 5585,2,42,4839.276036814309,4276.572862292396,4.249142472644446,1,3,0,0,0.01,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.5083213745899166,4.249142472644446,0.001998001998001998
