rule,length,size,mean_residual,delta_from_global,q_residual,leaf_id,n_predicates,n_operators,depth,n_splits,precision_penalty,n_terms,degree,n_tokens,complexity,I_inv,I_exp,expressiveness,pareto,score,q_perm,p_value
model > 79.5 AND displacement > 212.5,2,6,9.771714666666659,8.698072835008368,7.412952324951673,20,1,2,0,0,0.2,0,0,0,3.0,0.25,0.12245642825298195,0.0,True,0.9527663220975122,7.412952324951673,0.000999000999000999
model > 79.5 AND displacement <= 212.5 AND acceleration <= 13.85,3,9,7.806399111111144,6.732757279452852,7.027595478026122,16,1,5,0,0,0.21000000000000002,0,0,0,6.0,0.14285714285714285,0.014995576820477717,0.0,False,0.32462724447276836,7.027595478026122,0.000999000999000999
model <= 79.5 AND displacement <= 90.5 AND model > 77.5,3,7,3.803953714285773,2.7303118826274817,2.5133549190053532,6,1,5,0,0,0.30000000000000004,0,0,0,6.0,0.14285714285714285,0.014995576820477717,0.0,False,0.19413708240588742,2.5133549190053532,0.056943056943056944
model <= 79.5 AND displacement > 90.5 AND weight > 3199.0 AND weight > 4057.5,4,61,0.1792511147540981,-0.8943907169041936,2.430439094072469,13,1,5,0,0,0.4,0,0,0,6.0,0.14285714285714285,0.014995576820477717,0.0,False,0.1909079258246131,2.430439094072469,0.01098901098901099
model > 79.5 AND displacement <= 212.5 AND acceleration > 13.85 AND displacement <= 99.0,4,28,2.6360572857142937,1.562415454056002,2.8765245406342568,18,1,6,0,0,0.31000000000000005,0,0,0,7.0,0.125,0.007446583070924344,0.0,False,0.14635668398602603,2.8765245406342568,0.01898101898101898
model <= 79.5 AND displacement > 90.5 AND weight > 3199.0 AND weight <= 4057.5,4,80,0.35067319999999924,-0.7229686316582924,2.2498677462991328,12,1,6,0,0,0.4,0,0,0,7.0,0.125,0.007446583070924344,0.0,False,0.12943657547775989,2.2498677462991328,0.013986013986013986
model <= 79.5 AND displacement > 90.5 AND weight <= 3199.0 AND acceleration > 13.35,4,128,0.5694236796874993,-0.5042181519707923,1.9847965803419452,10,1,6,0,0,0.31000000000000005,0,0,0,7.0,0.125,0.007446583070924344,0.0,False,0.1215728284379485,1.9847965803419452,0.016983016983016984
model > 79.5 AND displacement <= 212.5 AND acceleration > 13.85 AND displacement > 99.0,4,46,0.8649464130434663,-0.20869541861482532,0.49247520882400697,19,1,5,0,0,0.31000000000000005,0,0,0,6.0,0.14285714285714285,0.014995576820477717,0.0,False,0.08593573078819544,0.49247520882400697,0.5994005994005994
model <= 79.5 AND displacement <= 90.5 AND model <= 77.5 AND weight > 2091.0,4,6,3.1971826666666647,2.123540835008373,1.8097924987069842,5,1,7,0,0,0.4,0,0,0,8.0,0.1111111111111111,0.003697863716482932,0.0,False,0.08180688244476464,1.8097924987069842,0.05094905094905095
model <= 79.5 AND displacement > 90.5 AND weight <= 3199.0 AND acceleration <= 13.35,4,10,1.2353866999999843,0.16174486834169266,0.1779602686188372,9,1,7,0,0,0.31000000000000005,0,0,0,8.0,0.1111111111111111,0.003697863716482932,0.0,False,0.025652930052942377,0.1779602686188372,0.8601398601398601
model <= 79.5 AND displacement <= 90.5 AND model <= 77.5 AND weight <= 2091.0,4,17,0.8697285882352932,-0.20391324342299844,0.2925246275666324,4,1,8,0,0,0.4,0,0,0,9.0,0.1,0.0018363047770289071,0.0,False,0.02317680674724646,0.2925246275666324,0.7802197802197802
