rule,size,length,mean_residual,delta_from_global,q_residual,q_signed,expr,operator,threshold,n_ops,n_predicates,n_operators,depth,n_splits,precision_penalty,n_terms,degree,n_tokens,complexity,I_inv,I_exp,expressiveness,pareto,score,q_perm,p_value
model > 79,89,1,2.724550775280898,1.6509089436226063,5.4188941208191554,5.4188941208191554,model,>,79.0,0,1,1,0,0,0.0,0,0,3,2.0,0.3333333333333333,0.2465969639416065,3.0,True,1.1559770058764252,5.4188941208191554,0.000999000999000999
(model + origin) > 80,103,2,2.646682407766992,1.5730405761087003,5.554578124824493,5.554578124824493,(model + origin),>,80.0,1,1,2,0,0,0.0,0,0,7,3.0,0.25,0.12245642825298195,7.0,True,0.824738623818573,5.554578124824493,0.000999000999000999
target > 32.49,57,1,3.0366838421052664,1.9630420104469748,5.156553922894619,5.156553922894619,target,>,32.49,0,1,1,0,0,0.01,0,0,3,2.0,0.3333333333333333,0.2465969639416065,3.0,False,1.127648234950507,5.156553922894619,0.000999000999000999
(target + cylinders) > 36.73,57,2,3.0366838421052664,1.9630420104469748,5.156553922894619,5.156553922894619,(target + cylinders),>,36.730000000000004,1,1,2,0,0,0.01,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.7946402805619518,5.156553922894619,0.000999000999000999
(target * cylinders) > 140.51,57,2,3.0012710526315827,1.927629220973291,5.063530973049757,5.063530973049757,(target * cylinders),>,140.51,1,1,2,0,0,0.01,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.7874401039495128,5.063530973049757,0.000999000999000999
(target * model) > 2583.07,57,2,2.9963679649122827,1.922726133253991,5.050651454385001,5.050651454385001,(target * model),>,2583.07,1,1,2,0,0,0.01,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.7864380061102819,5.050651454385001,0.000999000999000999
(target * weight) > 74701.7,57,2,2.993985315789468,1.9203434841311762,5.04439266898166,5.04439266898166,(target * weight),>,74701.71,1,1,2,0,0,0.1,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.785950576657986,5.04439266898166,0.000999000999000999
(target + origin) > 35.06,57,2,2.9408413684210584,1.8671995367627667,4.904793195907581,4.904793195907581,(target + origin),>,35.06,1,1,2,0,0,0.01,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.7749990039286313,4.904793195907581,0.000999000999000999
(target - acceleration) > 16.79,57,2,2.914265438596494,1.8406236069382025,4.8349830673101675,4.8349830673101675,(target - acceleration),>,16.79,1,1,2,0,0,0.01,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.7694639413815634,4.8349830673101675,0.000999000999000999
(model - acceleration) > 64.8,53,2,2.97904860377358,1.9054067721152885,4.826342976151956,4.826342976151956,(model - acceleration),>,64.8,1,1,2,0,0,0.1,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.7687761198056527,4.826342976151956,0.000999000999000999
(target + acceleration) > 50,56,2,2.798156214285726,1.7245143826274345,4.490072734118856,4.490072734118856,(target + acceleration),>,50.0,1,1,2,0,0,0.0,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.7415108020900951,4.490072734118856,0.000999000999000999
(target * model) / target > 79,91,3,2.682752406593405,1.6091105749351133,5.340711605414508,5.340711605414508,(target * model) / target,>,79.0,2,1,3,0,0,0.0,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5698850824407361,5.340711605414508,0.000999000999000999
(target * origin) / origin > 32.49,57,3,3.0366838421052664,1.9630420104469748,5.156553922894619,5.156553922894619,(target * origin) / origin,>,32.49,2,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5599735413227442,5.156553922894619,0.000999000999000999
(target * weight) / weight > 32.49,57,3,3.0366838421052664,1.9630420104469748,5.156553922894619,5.156553922894619,(target * weight) / weight,>,32.49,2,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5599735413227442,5.156553922894619,0.000999000999000999
(target / weight) + target > 32.5,57,3,3.0366838421052664,1.9630420104469748,5.156553922894619,5.156553922894619,(target / weight) + target,>,32.5,2,1,3,0,0,0.1,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5599735413227442,5.156553922894619,0.000999000999000999
(target * model) / model > 32.49,57,3,3.0366838421052664,1.9630420104469748,5.156553922894619,5.156553922894619,(target * model) / model,>,32.49,2,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5599735413227442,5.156553922894619,0.000999000999000999
(target / model) + target > 32.89,57,3,3.0366838421052664,1.9630420104469748,5.156553922894619,5.156553922894619,(target / model) + target,>,32.89,2,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5599735413227442,5.156553922894619,0.000999000999000999
(displacement / model) <= 1.21,56,2,2.8121170714285837,1.738475239770292,4.526422250616693,4.526422250616693,(displacement / model),<=,1.21,1,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5246446612024,4.526422250616693,0.000999000999000999
(displacement - target) <= 62.21,57,2,2.790009754385972,1.7163679227276802,4.508586009861645,4.508586009861645,(displacement - target),<=,62.21,1,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5236099670660102,4.508586009861645,0.001998001998001998
