rule,size,length,mean_residual,delta_from_global,q_residual,q_signed,expr,operator,threshold,n_ops,n_predicates,n_operators,depth,n_splits,precision_penalty,n_terms,degree,n_tokens,complexity,I_inv,I_exp,expressiveness,pareto,score,q_perm,p_value
target > 43,198,1,29.608393175693358,16.841017726439155,8.729231195458194,8.729231195458194,target,>,43.0,0,1,1,0,0,0.0,0,0,3,2.0,0.3333333333333333,0.2465969639416065,3.0,True,1.4671748056534881,8.729231195458194,0.000999000999000999
(target - Children) > 38,197,2,35.316530889000404,22.5491554397462,11.658386831911915,11.658386831911915,(target - Children),>,38.0,1,1,2,0,0,0.0,0,0,7,3.0,0.25,0.12245642825298195,7.0,True,1.1948407469732236,11.658386831911915,0.000999000999000999
(Contraceptive_Method + target) > 45,188,2,31.785266842814323,19.01789139356012,9.605419915639725,9.605419915639725,(Contraceptive_Method + target),>,45.0,1,1,2,0,0,0.0,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,1.084548484273202,9.605419915639725,0.000999000999000999
(Wife_Education + target) > 46,190,2,31.039187834860986,18.271812385606783,9.277554102781957,9.277554102781957,(Wife_Education + target),>,46.0,1,1,2,0,0,0.0,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,1.0658781067038,9.277554102781957,0.000999000999000999
(SOLI + target) > 46,207,2,29.995399536642697,17.228024087388494,9.13052418003208,9.13052418003208,(SOLI + target),>,46.0,1,1,2,0,0,0.0,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,1.0573984013437012,9.13052418003208,0.000999000999000999
(target * Wife_religion) > 42,195,2,29.78373195255602,17.016356503301818,8.753040729410246,8.753040729410246,(target * Wife_religion),>,42.0,1,1,2,0,0,0.0,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,1.0353096657891563,8.753040729410246,0.000999000999000999
(Wife_Education - Contraceptive_Method) > 2,175,2,30.72924093238621,17.96186548313201,8.752770310048032,8.752770310048032,(Wife_Education - Contraceptive_Method),>,2.0,1,1,2,0,0,0.0,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,1.0352936730644244,8.752770310048032,0.000999000999000999
(Wife_Education / Contraceptive_Method) > 3,175,2,30.72924093238621,17.96186548313201,8.752770310048032,8.752770310048032,(Wife_Education / Contraceptive_Method),>,3.0,1,1,2,0,0,0.0,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,1.0352936730644244,8.752770310048032,0.000999000999000999
(target + Wife_religion) > 44,194,2,29.793041040713387,17.025665591459184,8.735344393536007,8.735344393536007,(target + Wife_religion),>,44.0,1,1,2,0,0,0.0,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,1.0342625749741359,8.735344393536007,0.000999000999000999
(target - SOLI) > 40,184,2,30.111552620754548,17.344177171500345,8.666379056945953,8.666379056945953,(target - SOLI),>,40.0,1,1,2,0,0,0.0,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,1.0301717454871528,8.666379056945953,0.000999000999000999
