rule,length,size,mean_residual,delta_from_global,q_residual,n_predicates,n_operators,depth,n_splits,precision_penalty,n_terms,degree,n_tokens,complexity,I_inv,I_exp,expressiveness,pareto,score,q_perm,p_value,language,leaf_id,q_signed,expr,operator,threshold,n_ops
weight > 2155 AND model > 79 AND cylinders > 4,3,14,6.986206285714295,5.912564454056003,7.697194268519074,1,3,0,0,0.0,0,0,0,4.0,0.2,0.06081006262521797,1.0,True,0.684154124088362,7.697194268519074,0.000999000999000999,L_conj,,,,,,
horsepower > 72 AND model > 79 AND displacement > 163.2,3,11,7.708708090909118,6.635066259250826,7.656568082218864,1,3,0,0,0.1,0,0,0,4.0,0.2,0.06081006262521797,1.0,False,0.6823462351137978,7.656568082218864,0.000999000999000999,L_conj,,,,,,
acceleration <= 17.76 AND model > 79 AND cylinders > 4,3,10,7.918830800000021,6.845188968341729,7.53143935904883,1,4,0,0,0.01,0,0,0,5.0,0.16666666666666666,0.0301973834223185,1.0,False,0.4768959656435963,7.53143935904883,0.000999000999000999,L_conj,,,,,,
model > 79.5 AND displacement > 212.5,2,6,9.771714666666659,8.698072835008368,7.412952324951673,1,2,0,0,0.2,0,0,0,3.0,0.25,0.12245642825298195,0.0,True,0.9527663220975122,7.412952324951673,0.000999000999000999,L_tree,20.0,,,,,
model > 80 AND cylinders > 4 AND displacement > 181,3,6,9.759407166666673,8.685765335008382,7.402463230129194,1,3,0,0,0.0,0,0,0,4.0,0.2,0.06081006262521797,1.0,False,0.6709279041782579,7.402463230129194,0.001998001998001998,L_conj,,,,,,
horsepower > 72 AND model > 79 AND cylinders > 4,3,13,6.953243000000029,5.879601168341737,7.37585016126673,1,3,0,0,0.0,0,0,0,4.0,0.2,0.06081006262521797,1.0,False,0.6697207703370517,7.37585016126673,0.000999000999000999,L_conj,,,,,,
model > 79.5 AND displacement <= 212.5 AND acceleration <= 13.85,3,9,7.806399111111144,6.732757279452852,7.027595478026122,1,5,0,0,0.21000000000000002,0,0,0,6.0,0.14285714285714285,0.014995576820477717,0.0,False,0.32462724447276836,7.027595478026122,0.000999000999000999,L_tree,16.0,,,,,
cylinders > 4 AND model > 78 AND weight <= 3160,3,13,6.6464070769230785,5.572765245264787,6.990930210421178,1,4,0,0,0.0,0,0,0,5.0,0.16666666666666666,0.0301973834223185,1.0,False,0.4594646885700337,6.990930210421178,0.000999000999000999,L_conj,,,,,,
weight <= 3085 AND model > 78.8 AND cylinders > 4,3,12,6.811834249999993,5.7381924183417015,6.916052354123986,1,4,0,0,0.1,0,0,0,5.0,0.16666666666666666,0.0301973834223185,1.0,False,0.4569974668488989,6.916052354123986,0.000999000999000999,L_conj,,,,,,
acceleration <= 14.8 AND model > 79 AND horsepower > 96,3,8,8.042225874999989,6.968584043341697,6.857756769063741,1,4,0,0,0.1,0,0,0,5.0,0.16666666666666666,0.0301973834223185,1.0,False,0.4550673692679117,6.857756769063741,0.000999000999000999,L_conj,,,,,,
