rule,length,size,mean_residual,delta_from_global,q_residual,n_predicates,n_operators,depth,n_splits,precision_penalty,n_terms,degree,n_tokens,complexity,I_inv,I_exp,expressiveness,pareto,score,q_perm,p_value,language,leaf_id,q_signed,expr,operator,threshold,n_ops
(target - Children) > 38,2,197,35.316530889000404,22.5491554397462,11.658386831911915,1,2,0,0,0.0,0,0,7,3.0,0.25,0.12245642825298195,7.0,True,1.1948407469732236,11.658386831911915,0.000999000999000999,L_symb,,11.658386831911915,(target - Children),>,38.0,1.0
Husband_Occupation <= 1.5 AND Contraceptive_Method <= 1.5 AND Children <= 1.5 AND SOLI > 2.5,4,55,53.00886666285305,40.24149121359885,10.993360719513669,2,8,1,0,0.4,0,0,0,11.0,0.08333333333333333,0.0004528271828867974,1.0,True,0.07055559910507281,10.993360719513669,0.000999000999000999,L_tree,5.0,,,,,
Contraceptive_Method <= 1 AND Wife_Education > 3 AND Wife_religion > 0,3,132,37.71645233480737,24.94907688555317,10.55884743745345,1,4,0,0,0.0,0,0,0,5.0,0.16666666666666666,0.0301973834223185,1.0,True,0.5646676585094519,10.55884743745345,0.000999000999000999,L_conj,,,,,,
(Children - target) <= -38,2,236,30.89079486257467,18.123419413320466,10.255839375888606,1,4,0,0,0.0,0,0,10,5.0,0.16666666666666666,0.0301973834223185,10.0,False,0.556506526423024,10.255839375888606,0.000999000999000999,L_symb,,10.255839375888606,(Children - target),<=,-38.0,1.0
Husband_Occupation <= 1 AND Contraceptive_Method <= 1 AND Children <= 1,3,63,47.432533123711266,34.66515767445706,10.135344678014418,2,7,0,0,0.0,0,0,0,9.0,0.1,0.0018363047770289071,2.0,False,0.13642427148081968,10.135344678014418,0.000999000999000999,L_conj,,,,,,
Contraceptive_Method <= 1 AND Wife_Education > 2 AND Husband_Occupation <= 1,3,130,36.42956380697394,23.662188357719735,9.93806084165253,2,6,0,0,0.0,0,0,0,8.0,0.1111111111111111,0.003697863716482932,2.0,False,0.19170183775474536,9.93806084165253,0.000999000999000999,L_conj,,,,,,
Husband_Occupation <= 1 AND Children <= 5 AND Contraceptive_Method <= 1,3,140,35.530305211429145,22.76292976217494,9.921269435134283,2,7,0,0,0.0,0,0,0,9.0,0.1,0.0018363047770289071,2.0,False,0.1349758291618465,9.921269435134283,0.000999000999000999,L_conj,,,,,,
Contraceptive_Method <= 1 AND SOLI > 2 AND Husband_Occupation <= 1,3,140,35.10306445495587,22.335689005701667,9.735055678692198,2,6,0,0,0.0,0,0,0,8.0,0.1111111111111111,0.003697863716482932,2.0,False,0.18973378500461377,9.735055678692198,0.000999000999000999,L_conj,,,,,,
Contraceptive_Method <= 1 AND Wife_Education > 3 AND Children > 0,3,139,35.04387568602886,22.27650023677466,9.674520067517449,1,4,0,0,0.0,0,0,0,5.0,0.16666666666666666,0.0301973834223185,1.0,False,0.5405045715863457,9.674520067517449,0.000999000999000999,L_conj,,,,,,
Contraceptive_Method <= 1 AND SOLI > 2 AND Wife_Education > 3,3,159,33.486236422171636,20.718860972917433,9.623643051286763,1,4,0,0,0.0,0,0,0,5.0,0.16666666666666666,0.0301973834223185,1.0,False,0.5390814772733686,9.623643051286763,0.000999000999000999,L_conj,,,,,,
(Contraceptive_Method + target) > 45,2,188,31.785266842814323,19.01789139356012,9.605419915639725,1,2,0,0,0.0,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,1.084548484273202,9.605419915639725,0.000999000999000999,L_symb,,9.605419915639725,(Contraceptive_Method + target),>,45.0,1.0
Contraceptive_Method <= 1 AND Wife_Education > 3 AND Children <= 1,3,89,40.10439564874989,27.33702019949569,9.499948367797979,1,5,0,0,0.0,0,0,0,6.0,0.14285714285714285,0.014995576820477717,1.0,False,0.3774350348601551,9.499948367797979,0.000999000999000999,L_conj,,,,,,
Contraceptive_Method <= 1 AND Husband_Education > 3 AND Husband_Occupation <= 1,3,143,34.117249696455495,21.349874247201292,9.404558406897975,3,7,0,0,0.0,0,0,0,10.0,0.09090909090909091,0.0009118819655545162,3.0,False,0.09260587025267013,9.404558406897975,0.000999000999000999,L_conj,,,,,,
Children*Husband_Occupation <= 2 AND Contraceptive_Method*Husband_Occupation <= 1,2,95,38.818760636194554,26.05138518694035,9.353360875687542,1,8,0,0,0.0,1,1,0,9.0,0.1,0.0018363047770289071,2.0,True,0.13105579444381815,9.353360875687542,0.000999000999000999,L_poly,,,,,,
Husband_Occupation <= 1 AND Contraceptive_Method <= 1 AND Children <= 2.2,3,95,38.818760636194554,26.05138518694035,9.353360875687542,2,7,0,0,0.1,0,0,0,9.0,0.1,0.0018363047770289071,2.0,False,0.13105579444381815,9.353360875687542,0.000999000999000999,L_conj,,,,,,
